Artist,Song Title,verse,chorus
Alicia Keys,101,[verse] You used to the sound of a heart that's breaking I know it don't faze you anymore You're the king of the game that you're playing I know you've played it a hundred times before You fill your bedroom up with trophies Then you get a kick out of closing the door Got all the words to keep on hoping I know you've said them a hundred times before,[chorus] Then there's me all fox for your gun Then there's me just love me for fun Then there's me no use in pretending Oh there's me a 101 [vese] I might as well stand in front of a bullet Close my eyes and kick the chair to the floor It's like a speeding train is coming I know you've crashed it 100 times before Everybody says I gotta be crazy That I deserve everything that I get But I got a feeling That makes me wanna ignore all that you've done a 100 times before [chorus] Cause then there's me could I be the one And baby there's me to make you undone Uh darling there's me no use no use in pretending Oh there's me a 101 Me 101 So I gotta be I gotta be I gotta be a 101 Maybe it's time maybe it's me Maybe I could be Maybe pretend I gotta be I wanna be 101 Yeah baby
Alicia Keys,28 Thousand Days,[verse] Blood in my eye hand on my heart Feet on the ground head to the sky Cause trouble ain't no friend of mine Ain't no giving it up no more wasting time,[chorus] If you had 28 thousand days Who would you love? Where would you go? What would you celebrate? I'm telling you that life's too short to just throw it away So have the time of your life so have the time of your life There's only 28 thousand days Who would you love? Where would you go? What would you celebrate? I'm telling you that life's too short to just throw it away So have the time of your life so have the time of your life There's only 28 thousand days Who would you love? Where would you go? What would you celebrate? I'm telling you that life's too short to just throw it away So have the time of your life so have the time of your life
Ariana Grande,ABC,"[verse] You went to school to learn boy Things you never never knew before Mmmhmm like ""I before E except after C"" And why two plus two makes four Now now now I'm gonna teach you all about love boy Sit yourself down take a seat All you gotta do is repeat after me [verse] Reading writing arithmetic Are the branches of the learning tree But without the roots of love every day boy Your education ain't complete Te-te-te-teacher's gonna show you how to get an ""A"" (how to get an ""A"") Spell ""me"" and ""you"" and add the two Listen to me baby that's all you gotta do",[chorus] A B C Easy as 1 2 3 Or simple as do-re-mi A B C 1 2 3 baby you and me boy A B C Easy as 1 2 3 Or simple as do-re-mi A B C 1 2 3 baby you and me boy [chorus] A B C Easy as 1 2 3 Or simple as do-re-mi A B C 1 2 3 baby you and me boy A B C Easy as 1 2 3 Or simple as do-re-mi A B C 1 2 3 That's how easy love can be That's how easy love can be Sing a simple melody 1 2 3 baby you and me A B C Easy as 1 2 3 Or simple as do-re-mi A B C 1 2 3 baby you and me boy
Ariana Grande,All I Want for Christmas Is You,[verse] You baby Oh I won't ask for much this Christmas I won't even wish for snow And I I'm just gonna keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake To hear those magic reindeer click 'Cause I just want you here tonight Holding on to me so tight What more can I do? Oh baby all I want for Christmas is you You baby Oh all the lights are shining So brightly everywhere And the sound of childrens' Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa won't you bring me The one I really need? Won't you please bring my baby to me quickly? Oh I don't want a lot for Christmas This is all I'm asking for I just wanna see my baby Standing right outside my door Oh I just want you for my own More than you could ever know Make my wish come true Oh baby all I want for Christmas is you You baby,[chorus] I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you [chorus] I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas day I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you
Ariana Grande,Almost Is Never Enough,[verse] I'd like to say we gave it a try I'd like to blame it all on life Maybe we just weren't right But that's a lie that's a lie  And we can deny it as much as we want But in time our feelings will show 'Cause sooner or later we'll wonder why we gave up The truth is everyone knows [verse] If I could change the world overnight There'd be no such thing as goodbye You'd be standing right where you were And we'd get the chance we deserve oh  Try to deny it as much as you want But in time our feelings will show 'Cause sooner or later we'll wonder why we gave up The truth is everyone knows [verse] Huh-huh baby You know you know baby Almost is never enough baby You know hey And we can deny it as much as we want But in time our feelings will show 'Cause sooner or later we'll wonder why we gave up The truth is everyone knows,[chorus] Almost almost is never enough So close to being in love If I would have known that you wanted me the way I wanted you Then maybe we wouldn't be two worlds apart But right here in each others arms And we almost we almost knew what love was But almost is never enough [chorus] Almost almost is never enough So close to being in love If I would have known that you wanted me the way I wanted you Then maybe we wouldn't be two worlds apart But right here in each others arms And we almost we almost knew what love was But almost is never enough [chorus] Almost almost is never enough (is never enough baby) So close to being in love (so close) If I would have known that you wanted me The way I wanted you Then maybe we wouldn't be two worlds apart But right here in each others arms And we almost we almost knew what love was (baby) But almost is never enough
Ben Harper,A House Is A Home,"[verse] A house is a home even when it's dark Even when the grass is overgrown in the yard Even when the dog is too old to bark And when you're sittin' at the table tryin' not to start [verse] A house is a home even when there's ghosts Even when you gotta run from the ones you love the most Screen doors broken paints peeling from the wood Locals whisper "" When they gonna leave the neighborhood?"" A house is a home even when we've up and gone Even when you're there alone A house a house is a home",[chorus] A house is a home even when we've up and gone Even when you're there alone A house a house is a home [chorus] A house is a home where the chores are never done Where you spend your whole life running to and from And if the life that you live is not the life you choose Make your child a home and start anew A house is a home even when we've up and gone Even when you're there alone A house a housea house is a home
Ben Harper,Ain't Too Proud to Beg,[verse] I know you wanna leave me; I refuse to let you go If I have to beg plead for sympathy I don't mind 'cause it means that much to me Ain't too proud to beg sweet darling [verse] Well your love's so deep in the pit of my heart Ev'ry day it grows more and more I'm not ashamed to come and plead with you baby If pleadin' keeps you from walkin' out the door Ain't too proud to beg sweet darlin',[chorus] Please don't leave me don't you go Ain't too proud to plead baby baby Please don't leave me don't you go Well I heard a quiet man half a man with no sense of pride If I have to cry to keep ya I don't mind weepin' If weepin' gonna keep ya by my side Ain't too proud to beg sweet darlin' Please don't leave me don't you go Ain't too proud to plead baby baby Please don't leave me don't you go If I have to sleep on your door step all night and day Just to keep you from walkin' away Let my friends laugh for this I can stand Just so long as I keep ya yeah yeah I can Ain't too proud to beg sweet darlin' Please don't leave me don't you go Ain't too proud to plead baby baby Please don't leave me don't you go Ain't too proud to beg sweet darlin' Please don't leave me don't you go Ain't too proud to plead baby baby Please don't leave me don't you go
Ben Harper,All That Matters Now,[verse] Its been a long hard day And a long hard night Been a hard year Its been a hard life But were together And thats all that matters now [verse] Been thrown by the wind Drowned in the rain I walked through some things You dont want me to explain But were together And thats all that matters now,[chorus] Well the time has come And the time has gone Maybe I was born to be alone But were together And thats all that matters now [chorus] I can't get well Theres no cure for life Let me down easy At least tonight Now were together And thats all that matters now
Big Sean,10 2 10,[verse] All this bread can’t be too good for my cholesterol Don’t come round’ talking loudly fucking up my repertoire dawg I can’t lie bruh lately I’ve been stressing heavily Im sipping popping smoking on whatever take the pressure off You bitch you FF Imperial til my burial Dodging every bullet and venereal Anti-fuckboy material til I’m dead I’m living proof If you focus on what’s in front of ya and not what’s in the peripheral It’s gone word? Boy I seen drama on drama Drama on drama over comma on comma I’m bringing home dead prez my house done feel like its haunted I put the city on my back right along with my garments Went to sleep snoring [verse] I got 3 jobs like I'm Jamaican though I need 3 wives like I was Haitian though One cook one clean the other PMS’ing no Hablo ingles’ If police ask questions we don’t know what that mean nigga They say Detroit going through the great depression Still it’s been depressed so long I can’t even tell depression here My homeboy still gon’ pull up on them rims big as a Ferris wheel So many rides up on the curb my lil cuz thought the fair was here Like oh Im primo top spot redeemed ho for who? My team And we might take a trip to Jamaica Montego pussy and flamingos Got me thinking the fuck I need to sleep for?,[chorus] I woke up working like I'm Mexican That mean I work from 10 to 10 Then 10 to 10 then 10 again Nightmares of losing everything boost my adrenaline [chorus] I woke up working like I'm Mexican That mean I work from 10 to 10 Then 10 to 10 then 10 again Nightmares of losing everything boost my adrenaline [chorus] I woke up working like I'm Mexican That mean I work from 10 to 10 Then 10 to 10 then 10 again Nightmares of losing everything boost my adrenaline
Big Sean,100 Keys,[verse] I play the keys handle dope Barry Manilow The game a bitch but at times she sweet like cantaloupe Hit the road key of coke in the manifold Triple beam dreams with a trunk full of scattered clothes Japanese denim down south numbers Hit it once trust it'll make a fat fiend stumble Do the speed limit Argo shoes Call 'em penny loafers they a pretty penny too I'm tippin' strippers but I call it penny pinchin' She talkin' shit but I can get her titties lifted My new crib got its own city limit Motherfucker got his own city in it Blue marble on the floor wet as salt water Underboss I'll just play the holes like a golf course [verse] One hundred keys one hundred please My gesundheit could make a whole city sneeze Walked the mud jungle where they grinded out the leaves So they swarm to my honey comb hideout for the bees You know what this sound like money counters' sound bites Machine gun fire name ringin' through the town like Church bells ringin' know what he was found like? Colombian necktie over hospital gown white She live on her knees I live in a condo in the trees The air's a little thinner that I breathe The Iron Man Audi let the top striptease My life's in slow motion but the watch screamin' freeze Ugh young nigga gettin' money The feds' dragnet couldn't take nothin' from me The decoy car is a crash test dummy What follows is a hundred of 'em wrapped like a mummy [verse] And they gon' risk a hundred lives So they could rock a hundred whites Baguettes lookin' like a hundred lights Man when Blade died my city cried a hundred nights Yeah I got a main girl but I done hit a hundred tight Every wrong I do I'm steady tryna do a hundred rights Got her for cheap compare the price My nigga keep that low key Barry White And don't worry 'bout the info From where they rob Pintos and could afford Enzos Cause everybody knows keys open doors but bricks open windows Counting a hundred hundreds more by more Built this from the tile up floor by floor Talk shit I'll send 'em door by door Made for the Snow White like 4 by 4s,[chorus] I'm from a big city trying to make a living Come to my hood everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money young niggas getting money Just a bittersweet symphony [chorus] I'm from a big city trying to make a living Come to my hood everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money young niggas getting money Just a bittersweet symphony [chorus] I'm from a big city trying to make a living Come to my hood everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money young niggas getting money Just a bittersweet symphony [chorus] I'm from a big city trying to make a living Come to my hood everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money young niggas getting money Just a bittersweet symphony
