,Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,Genre,Loudness,Energy,Danceability,Mode,Valence
0,avicii,Friend of Mine,0.194528,0.10013999999999999,0.400606,0.097862,0.448143,0.163906,0.723974,0.066914,0.012506,0.05896799999999999,genre,-4.387,0.7,0.603,0,0.7020000000000001
1,avicii,Lonely Together,0.55672,0.017394999999999997,0.493475,0.06845599999999999,0.203281,0.117145,0.017484,0.521284,0.07607,0.613845,genre,-5.284,0.6829999999999999,0.228,1,0.65
2,avicii,So Much Better (Avicii Remix),0.668734,0.07900499999999999,0.272725,0.044417,0.15748,0.50185,0.28985900000000003,0.21098899999999998,0.009120999999999999,0.06640900000000001,genre,-5.702000000000001,0.659,0.258,0,0.775
3,avicii,What Would I Change It To,0.11664200000000001,0.534208,0.370106,0.019244999999999998,0.066675,0.61563,0.532325,0.081455,0.08061900000000001,0.11378599999999998,genre,-8.87,0.501,0.535,1,0.787
4,avicii,Without You,0.5244260000000001,0.023399,0.628528,0.030519,0.044752999999999994,0.6501640000000001,0.075888,0.221011,0.028741000000000003,0.27089,genre,-4.7989999999999995,0.863,0.276,1,0.653
5,avicii,You Be Love,0.220075,0.43329399999999996,0.133172,0.053301999999999995,0.13309,0.029993000000000002,0.389486,0.002841,0.000609,0.002545,genre,-7.615,0.47100000000000003,0.5529999999999999,0,0.8240000000000001
6,Nicky Thomas,Have a Little Faith,0.246966,0.7127060000000001,0.022874000000000002,0.015995,0.016503,0.039080000000000004,0.899185,0.021138,0.027344,0.020641999999999997,rock steady,-9.7,0.503,0.925,1,0.855
7,Nikolas Asimos,Bagasas,0.8031119999999999,0.016881,0.202618,0.07418200000000001,0.175871,0.005016,0.913307,0.031892000000000004,0.015922,0.03688,alternative,-12.338,0.306,0.188,1,0.535
8,Nikolas Asimos,Lina,0.6396,0.686809,0.128118,0.086153,0.526718,0.5982430000000001,0.124705,0.22318200000000002,0.10654200000000001,0.525071,alternative,-10.991,0.298,0.23600000000000002,0,0.363
9,Phil Ochs,Chords Of Fame,0.332246,0.419667,0.30141799999999996,0.049352,0.050575999999999996,0.39224899999999996,0.5293220000000001,0.030198000000000003,0.028508999999999996,0.052278,folk,-13.873,0.498,0.754,1,0.503
10,Phil Ochs,I Ain't Marching Anymore,0.21238600000000002,0.35904899999999995,0.43517700000000004,0.014927000000000001,0.142036,0.52491,0.013521,0.194613,0.133871,0.499914,folk,-6.517,0.49200000000000005,0.662,1,0.498
11,Phil Ochs,Tape From California,0.388719,0.038419999999999996,0.229954,0.14918900000000002,0.561999,0.28933400000000004,0.15568099999999999,0.414996,0.24478000000000003,0.21387199999999998,folk,-10.705,0.47,0.624,1,0.5579999999999999
12,Phil Ochs,The Pleasures of the Harbor,0.336397,0.515628,0.105833,0.046533,0.08842,0.133931,0.757734,0.02023,0.017363,0.092316,folk,-11.97,0.54,0.948,1,0.45299999999999996
13,Reagan Youth,(Are You) Happy,0.023144,0.670756,0.591118,0.025475,0.065194,0.014669,0.479973,0.014431,0.02988,0.524667,punk rock,-16.45,0.586,0.413,0,0.278
14,Reagan Youth,Anytown,0.526313,0.018594,0.293122,0.149542,0.387201,0.147662,0.209234,0.11916800000000001,0.074005,0.100725,punk rock,-13.950999999999999,0.733,0.413,0,0.391
