Artist,Song Title,Tempo,Loudness,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus
Albert Ayler,Music is the Healing force of the Universe,86.478,-7.32,0.736,4,0.303,1,0.424,0.297842,0.6435270000000001,0.023434,0.0018629999999999999,0.058053999999999994,0.183425,0.7730319999999999,0.035934,0.0012439999999999999,0.014387
Antonio Flores,Isla de Palma,118.029,-11.333,0.6609999999999999,5,0.883,1,0.862,0.403503,0.377848,0.154008,0.15808,0.011867,0.132957,0.572446,0.377735,0.002654,0.008717
Badfinger,Come On,142.38,-6.832000000000002,0.877,3,0.519,1,0.7170000000000001,0.428785,0.41616899999999996,0.064478,0.023707,0.171035,0.153447,0.328575,0.14058900000000002,0.071614,0.12738
Badfinger,Dennis,118.191,-8.446,0.6659999999999999,3,0.329,1,0.547,0.061348,0.42565699999999995,0.467841,0.13389,0.066499,0.548347,0.205348,0.044473,0.097251,0.24851199999999998
Badfinger,Just A Chance,123.517,-9.063,0.752,3,0.398,1,0.71,0.5142359999999999,0.050308,0.193708,0.048115,0.143655,0.6319100000000001,0.012463,0.280514,0.090544,0.25258800000000003
Badfinger,Know One Knows,119.829,-8.228,0.743,3,0.475,0,0.5479999999999999,0.48610699999999996,0.304272,0.23428800000000002,0.021502,0.07498400000000001,0.10843599999999999,0.730176,0.068314,0.037594,0.053366
Badfinger,Rock N' Roll Contract,159.335,-9.317,0.841,3,0.325,0,0.49,0.701646,0.062193,0.118404,0.104477,0.24094699999999997,0.15404500000000002,0.20992399999999997,0.163634,0.066356,0.120948
Badfinger,Three Time Loser,125.466,-8.013,0.897,3,0.627,1,0.8740000000000001,0.5155069999999999,0.22885999999999998,0.13389500000000001,0.168,0.118165,0.609175,0.064401,0.06982100000000001,0.168463,0.35641300000000004
Badfinger,Too Hung Up On You,100.904,-8.514,0.731,3,0.649,1,0.721,0.21023499999999998,0.272624,0.149741,0.153876,0.11425199999999999,0.6931729999999999,0.022259,0.147759,0.086962,0.364451
Billie Holiday,Gloomy Sunday,127.089,-11.273,0.0823,6,0.484,0,0.191,0.274873,0.306347,0.040596,0.005224,0.49692299999999995,0.229971,0.338509,0.547,0.00053,0.01277
Bob Brozman,The Lonesome Road,76.247,-15.873,0.127,7,0.56,1,0.36,0.45736099999999996,0.204122,0.238156,0.058784,0.029774000000000002,0.051102999999999996,0.551653,0.05519299999999999,0.198594,0.11441199999999999
Chris Cornell,Before We Disappear,147.349,-5.635,0.6729999999999999,8,0.399,1,0.326,0.317384,0.496134,0.11780999999999998,0.048092,0.109866,0.44261000000000006,0.025406,0.685311,0.035944,0.046943
Chris Cornell,Bend In The Road,152.007,-5.76,0.58,8,0.3670000000000001,1,0.304,0.191621,0.693554,0.017372,0.003055,0.129111,0.612576,0.24879400000000002,0.13903800000000002,0.064397,0.045792
Chris Cornell,Circling,179.821,-8.071,0.441,8,0.406,1,0.104,0.569551,0.041718,0.554285,0.025083,0.072979,0.33569299999999996,0.48992399999999997,0.154446,0.026764,0.08544700000000001
Chris Cornell,Dead Wishes,100.026,-5.5710000000000015,0.716,8,0.5720000000000001,1,0.343,0.615354,0.21843600000000002,0.178887,0.10438099999999999,0.04768,0.795809,0.093513,0.102527,0.058302,0.140224
Chris Cornell,Higher Truth,119.531,-5.426,0.792,8,0.595,0,0.611,0.672986,0.063663,0.131557,0.106099,0.28499,0.47948500000000005,0.217468,0.19661900000000002,0.068438,0.136569
Chris Cornell,Josephine,78.023,-7.057,0.379,8,0.299,1,0.222,0.5438850000000001,0.035203,0.193867,0.275321,0.320851,0.123485,0.673944,0.085654,0.07589299999999999,0.122748
Chris Cornell,Let Your Eyes Wander,132.804,-10.678,0.294,8,0.516,1,0.579,0.211684,0.626149,0.073351,0.060451,0.108624,0.12998099999999999,0.749993,0.063371,0.04376,0.033951
Chris Cornell,Misery Chain,87.539,-8.73,0.338,8,0.456,0,0.115,0.602662,0.524435,0.14215999999999998,0.092139,0.187927,0.721122,0.19127,0.08519,0.065486,0.129457
Chris Cornell,Murderer Of Blue Skies,80.061,-6.557,0.745,8,0.4920000000000001,1,0.32,0.21490399999999998,0.233325,0.09903300000000001,0.141549,0.49976400000000004,0.383639,0.06705599999999999,0.38795100000000005,0.059334000000000005,0.22573600000000002
Chris Cornell,Nearly Forgot My Broken Heart,119.531,-5.426,0.792,8,0.595,0,0.611,0.375369,0.065137,0.42719799999999997,0.162104,0.338014,0.8851629999999999,0.013675999999999999,0.173622,0.086631,0.0706
Chris Cornell,Only These Words,106.004,-6.3,0.634,8,0.556,1,0.789,0.24746700000000002,0.672878,0.043268,0.032027,0.041523000000000004,0.133507,0.6846770000000001,0.069854,0.083578,0.026534
Chris Cornell,Our Time In The Universe,118.01,-6.238,0.865,8,0.521,0,0.415,0.358566,0.40178600000000003,0.136081,0.00978,0.201823,0.18825999999999998,0.205945,0.686933,0.016832,0.040598
Chris Cornell,Through The Window,76.90100000000002,-6.937,0.479,8,0.528,1,0.376,0.766712,0.078323,0.134957,0.143501,0.076859,0.799711,0.057615999999999994,0.20591700000000002,0.086355,0.05910700000000001
Chris Cornell,Worried Moon,90.993,-5.754,0.755,8,0.534,1,0.479,0.091185,0.476891,0.5136390000000001,0.0033590000000000004,0.004311,0.08746699999999999,0.027292,0.9473020000000001,0.023888999999999997,0.016457
Chris Cornell,Wrong Side,125.975,-5.359,0.6609999999999999,8,0.392,0,0.158,0.639452,0.053253999999999996,0.156443,0.055125,0.38201999999999997,0.41337299999999993,0.14878,0.172499,0.21749000000000002,0.334663
Del Shannon,Runaway,139.42700000000002,-5.811,0.629,9,0.715,1,0.853,0.249214,0.656907,0.125629,0.001989,0.01207,0.767237,0.021319,0.242946,0.041519,0.180976
Donny Hathaway,Come Little Children,121.644,-7.626,0.7809999999999999,10,0.685,1,0.861,0.697687,0.21568299999999999,0.083594,0.073947,0.049782,0.354858,0.282012,0.21574400000000002,0.152589,0.096697
Donny Hathaway,Flying Easy,151.985,-10.708,0.726,10,0.544,1,0.6829999999999999,0.016385,0.9492290000000001,0.014913999999999998,0.0070290000000000005,0.0051140000000000005,0.019508,0.944592,0.024841,0.004111999999999999,0.005147
Donny Hathaway,I Love You More Than You'll Ever Know,86.23899999999998,-15.617,0.219,10,0.304,0,0.199,0.09085,0.713795,0.107607,0.043475,0.056162000000000004,0.376801,0.443461,0.05954299999999999,0.074556,0.131641
Donny Hathaway,Lord Help Me,127.897,-7.903,0.523,10,0.419,1,0.4270000000000001,0.059698,0.716003,0.022702,0.005684000000000001,0.008867,0.042608999999999994,0.877926,0.053002999999999995,0.003921,0.00626
Donny Hathaway,Love love love,93.777,-8.71,0.636,10,0.4970000000000001,1,0.69,0.136344,0.74854,0.128923,0.004604,0.016793000000000002,0.10436600000000001,0.797056,0.083949,0.041533999999999995,0.011629
Donny Hathaway,Magdalena,131.83,-9.523,0.778,10,0.438,1,0.833,0.45935200000000004,0.20021,0.136999,0.186594,0.286329,0.213641,0.442267,0.37001300000000004,0.014906,0.028064
