Artist,Song Title,Tempo,Loudness,Energy,Genre,Danceability,Mode,Valence
Alicia Keys,101,170.03900000000002,-9.389,0.289,23,0.276,0,0.0842
Alicia Keys,28 Thousand Days,178.0,-7.691,0.579,23,0.478,0,0.20800000000000002
Ariana Grande,Almost Is Never Enough,108.196,-7.404,0.337,1,0.4,1,0.35200000000000004
Ben Harper,A House Is A Home,145.046,-10.655999999999999,0.536,24,0.731,1,0.8690000000000001
Ben Harper,All That Matters Now,102.38799999999999,-17.771,0.0537,24,0.527,1,0.203
Big Sean,10 2 10,113.98299999999999,-4.52,0.897,25,0.632,1,0.24
Big Sean,100 Keys,87.98100000000001,-4.302,0.7509999999999999,25,0.644,0,0.149
Big Sean,100,87.98100000000001,-4.302,0.7509999999999999,25,0.644,0,0.149
Cher Lloyd,Activated,174.82,-4.58,0.728,1,0.687,1,0.43
Cher Lloyd,Alone With Me,110.06700000000001,-4.908,0.9209999999999999,1,0.5820000000000001,1,0.385
Cher Lloyd,Beautiful People,122.914,-5.327000000000001,0.628,1,0.589,1,0.244
Cher Lloyd,Behind The Music,157.931,-4.163,0.79,1,0.605,1,0.505
Christina Grimmie,Absolutely Final Goodbye,120.046,-4.79,0.8170000000000001,1,0.7120000000000001,1,0.6629999999999999
Christina Grimmie,After You Get What You Want,122.056,-15.821,0.21100000000000002,1,0.812,1,0.605
Christina Grimmie,Anybody's You,91.126,-8.8,0.478,1,0.519,0,0.0602
David Archuleta,A Little Too Not Over You,163.97799999999998,-4.877,0.6940000000000001,1,0.531,0,0.5379999999999999
David Archuleta,Crush,162.084,-4.718,0.664,1,0.57,0,0.48700000000000004
Drake,God's Plan,77.17,-9.488,0.45399999999999996,25,0.753,1,0.344
Drake,Hotline Bling,134.969,-8.132,0.621,25,0.903,1,0.5529999999999999
Drake,One Dance,103.99,-5.857,0.61,25,0.7959999999999999,1,0.391
Drake,Passionfruit,111.963,-11.556,0.45899999999999996,25,0.804,1,0.37200000000000005
