Artist,Song Title,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,label
Alicia Keys,101,0.289,23,0.276,0,0.0842,0.755442,0.078146,0.08736,0.077448,0.172543,0.571065,0.054482,0.322099,0.042283,0.301698,1
Alicia Keys,28 Thousand Days,0.579,23,0.478,0,0.208,0.455974,0.203143,0.36686,0.094642,0.080229,0.184473,0.624789,0.088717,0.154802,0.128243,1
Ariana Grande,Almost Is Never Enough,0.337,1,0.4,1,0.352,0.505373,0.272861,0.028019,0.118144,0.183696,0.162753,0.521819,0.086315,0.00978,0.038335,1
Ben Harper,A House Is A Home,0.536,24,0.731,1,0.869,0.591305,0.054765,0.479563,0.019922,0.074754,0.492299,0.17364,0.381799,0.020932,0.081338,1
Ben Harper,All That Matters Now,0.0537,24,0.527,1,0.203,0.764776,0.04749,0.215566,0.049946,0.114457,0.269951,0.592749,0.066655,0.021417,0.060316,1
Big Sean,10 2 10,0.897,25,0.632,1,0.24,0.525978,0.008852,0.324128,0.099337,0.419207,0.419919,0.090773,0.511651,0.019066,0.134516,1
Big Sean,100 Keys,0.751,25,0.644,0,0.149,0.321783,0.058167,0.093795,0.133084,0.697379,0.295743,0.471463,0.050315,0.052153,0.185217,1
Big Sean,100,0.751,25,0.644,0,0.149,0.709688,0.021246,0.119061,0.094369,0.366941,0.918894,0.035436,0.084337,0.018027,0.052868,1
Cher Lloyd,Activated,0.728,1,0.687,1,0.43,0.307328,0.125994,0.242625,0.112944,0.389725,0.172965,0.211225,0.276528,0.034867,0.547236,1
Cher Lloyd,Alone With Me,0.921,1,0.582,1,0.385,0.457063,0.375945,0.092231,0.03144,0.13159,0.392509,0.417181,0.193921,0.016028,0.08112,1
Cher Lloyd,Beautiful People,0.628,1,0.589,1,0.244,0.238752,0.36565,0.288906,0.093108,0.11993,0.674057,0.241108,0.087949,0.010958,0.069648,1
Cher Lloyd,Behind The Music,0.79,1,0.605,1,0.505,0.440899,0.011924,0.267795,0.320502,0.372207,0.101993,0.74458,0.00801,0.147364,0.031401,1
Christina Grimmie,Absolutely Final Goodbye,0.817,1,0.712,1,0.663,0.199518,0.308236,0.173568,0.150849,0.2112,0.813929,0.018741,0.119344,0.112746,0.172592,1
