,Artist,Song Title,Genre,verse_emotion,chorus_emotion,Loudness,Energy,Valence,Mode,Danceability
0,avicii,Friend of Mine,EDM,anger,joy,-4.387,0.7,0.603,0,0.7020000000000001
1,avicii,Lonely Together,EDM,sadness,anger,-5.284,0.6829999999999999,0.228,1,0.65
2,avicii,So Much Better (Avicii Remix),EDM,sadness,sadness,-5.702000000000001,0.659,0.258,0,0.775
3,avicii,What Would I Change It To,EDM,joy,sadness,-8.87,0.501,0.535,1,0.787
4,avicii,Without You,EDM,fear,sadness,-4.7989999999999995,0.863,0.276,1,0.653
5,avicii,You Be Love,EDM,joy,joy,-7.615,0.47100000000000003,0.5529999999999999,0,0.8240000000000001
6,Nicky Thomas,Have a Little Faith,rock steady,joy,joy,-9.7,0.503,0.925,1,0.855
7,Nikolas Asimos,Bagasas,alternative,sadness,joy,-12.338,0.306,0.188,1,0.535
8,Nikolas Asimos,Lina,alternative,joy,sadness,-10.991,0.298,0.23600000000000002,0,0.363
9,Phil Ochs,Chords Of Fame,folk,joy,joy,-13.873,0.498,0.754,1,0.503
10,Phil Ochs,I Ain't Marching Anymore,folk,fear,sadness,-6.517,0.49200000000000005,0.662,1,0.498
11,Phil Ochs,Tape From California,folk,anger,fear,-10.705,0.47,0.624,1,0.5579999999999999
12,Phil Ochs,The Pleasures of the Harbor,folk,joy,joy,-11.97,0.54,0.948,1,0.45299999999999996
13,Reagan Youth,(Are You) Happy,punk rock,joy,anger,-16.45,0.586,0.413,0,0.278
14,Reagan Youth,Anytown,punk rock,sadness,joy,-13.950999999999999,0.733,0.413,0,0.391
15,Reagan Youth,Degenerated,punk rock,anger,disgust,-15.748,0.583,0.28,1,0.325
16,Reagan Youth,Go Nowhere,punk rock,sadness,anger,-15.215,0.545,0.7090000000000001,1,0.433
17,Reagan Youth,In Dog We Trust,punk rock,anger,joy,-17.018,0.529,0.59,0,0.25
18,Reagan Youth,New Aryans,punk rock,joy,sadness,-15.774000000000001,0.695,0.615,0,0.386
19,Reagan Youth,No Class,punk rock,anger,anger,-14.174000000000001,0.6559999999999999,0.40399999999999997,1,0.341
20,Reagan Youth,Reagan Youth,punk rock,joy,joy,-3.6830000000000003,0.912,0.5489999999999999,1,0.32799999999999996
21,Reagan Youth,USA,punk rock,joy,anger,-5.843,0.945,0.324,0,0.377
22,The Raphaels,Old Country Country,country,sadness,joy,-5.024,0.757,0.569,1,0.41200000000000003
23,The Raphaels,Private Battlefield,country,fear,sadness,-7.175,0.387,0.315,1,0.542
24,The Raphaels,Shattered Cross,country,sadness,sadness,-8.762,0.625,0.588,1,0.627
25,The Raphaels,Simple Man,country,sadness,joy,-6.244,0.8009999999999999,0.59,0,0.619
26,The Raphaels,Supernatural,country,fear,joy,-7.68,0.6970000000000001,0.462,1,0.426
27,The Raphaels,Too Many Ghosts,country,sadness,joy,-5.944,0.784,0.203,0,0.41600000000000004
28,The Raphaels,Toujour Aimez,country,sadness,joy,-10.148,0.358,0.601,1,0.713
29,Viro the Virus,Exscape,underground rap,sadness,sadness,-13.960999999999999,0.54,0.519,1,0.73
30,Viro the Virus,Heat,underground rap,anger,anger,-5.181,0.708,0.5670000000000001,1,0.7020000000000001
