Artist,Song Title,verse_emotion,chorus_emotion,Genre,Tempo,Loudness,Energy,Danceability,Mode,Valence
Albert Ayler,Music is the Healing force of the Universe,1,1,4,86.478,-7.32,0.736,0.303,1,0.424
Antonio Flores,Isla de Palma,0,1,5,118.029,-11.333,0.661,0.883,1,0.862
Badfinger,Come On,0,1,3,142.38,-6.832,0.877,0.519,1,0.717
Badfinger,Dennis,2,0,3,118.191,-8.446,0.666,0.329,1,0.547
Badfinger,Just A Chance,0,0,3,123.517,-9.063,0.752,0.398,1,0.71
Badfinger,Know One Knows,0,1,3,119.829,-8.228,0.743,0.475,0,0.548
Badfinger,Rock N' Roll Contract,0,1,3,159.335,-9.317,0.841,0.325,0,0.49
Badfinger,Three Time Loser,0,0,3,125.466,-8.013,0.897,0.627,1,0.874
Badfinger,Too Hung Up On You,1,0,3,100.904,-8.514,0.731,0.649,1,0.721
Billie Holiday,Gloomy Sunday,4,2,6,127.089,-11.273,0.0823,0.484,0,0.191
Bob Brozman,The Lonesome Road,0,1,7,76.247,-15.873,0.127,0.56,1,0.36
Chris Cornell,Before We Disappear,1,2,8,147.349,-5.635,0.673,0.399,1,0.326
Chris Cornell,Bend In The Road,1,0,8,152.007,-5.76,0.58,0.367,1,0.304
Chris Cornell,Circling,0,1,8,179.821,-8.071,0.441,0.406,1,0.104
Chris Cornell,Dead Wishes,0,0,8,100.026,-5.571,0.716,0.572,1,0.343
Chris Cornell,Higher Truth,0,0,8,119.531,-5.426,0.792,0.595,0,0.611
Chris Cornell,Josephine,0,1,8,78.023,-7.057,0.379,0.299,1,0.222
Chris Cornell,Let Your Eyes Wander,1,1,8,132.804,-10.678,0.294,0.516,1,0.579
Chris Cornell,Misery Chain,0,0,8,87.539,-8.73,0.338,0.456,0,0.115
Chris Cornell,Murderer Of Blue Skies,4,2,8,80.061,-6.557,0.745,0.492,1,0.32
Chris Cornell,Nearly Forgot My Broken Heart,2,0,8,119.531,-5.426,0.792,0.595,0,0.611
Chris Cornell,Only These Words,1,1,8,106.004,-6.3,0.634,0.556,1,0.789
Chris Cornell,Our Time In The Universe,1,2,8,118.01,-6.238,0.865,0.521,0,0.415
Chris Cornell,Through The Window,0,0,8,76.901,-6.937,0.479,0.528,1,0.376
Chris Cornell,Worried Moon,2,2,8,90.993,-5.754,0.755,0.534,1,0.479
Chris Cornell,Wrong Side,0,0,8,125.975,-5.359,0.661,0.392,0,0.158
Del Shannon,Runaway,1,0,1,139.427,-5.811,0.629,0.715,1,0.853
Donny Hathaway,Come Little Children,0,0,9,121.644,-7.626,0.781,0.685,1,0.861
Donny Hathaway,Flying Easy,1,1,9,151.985,-10.708,0.726,0.544,1,0.683
Donny Hathaway,I Love You More Than You'll Ever Know,1,1,9,86.239,-15.617,0.219,0.304,0,0.199
Donny Hathaway,Lord Help Me,1,1,9,127.897,-7.903,0.523,0.419,1,0.427
Donny Hathaway,Love love love,1,1,9,93.777,-8.71,0.636,0.497,1,0.69
Donny Hathaway,Magdalena,0,1,9,131.83,-9.523,0.778,0.438,1,0.833
Donny Hathaway,Someday We'll All Be Free,1,1,9,77.022,-11.497,0.413,0.379,1,0.249
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,0,1,10,83.512,-9.621,0.441,0.575,1,0.294
Elliott Smith,A Passing Feeling,4,0,10,73.715,-8.465,0.52,0.368,0,0.16
Elliott Smith,Coast To Coast,4,4,10,84.409,-9.803,0.677,0.183,1,0.174
Elliott Smith,Don't Go Down,1,1,10,176.251,-8.206,0.583,0.173,1,0.229
Elliott Smith,King's Crossing,1,4,10,122.553,-10.027,0.343,0.395,0,0.0589
