Artist,Song Title,Tempo,Loudness,Energy,Genre,verse,chorus
Albert Ayler,Music is the Healing force of the Universe,86.478,-7.32,0.736,4,   Life is music Music is played listened to danced to Sometimes not understood but felt Music causes all bad vibrations to fade away It makes one want to love instead of hate It puts the mind in a healthy state of thought. It reconciles unites becomes oneness It brings about a state of wholeness and purifies Oh let it come in Oh let it come in The music of the universe The music of love Be healed.    It's never complete it is a being It's always there To feel To let in To become obsessed by To be healed by So open up your door And let it come in Let it into the very interior of your soul Sometime our very soul is in need of spiritual medication We do not always need the pill and its contents Just open up your heart and soul and let it come in Oh let it come in Oh let it come in,  Music is the healing force of the universe Music of love Music is the spirit Music is life   Music is the healing force of the universe Music of love Music is giving Music is greatness
Antonio Flores,Isla de Palma,118.029,-11.333,0.6609999999999999,5,Two stars have fallen from the sky And your face has gone to your face,  And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you [watch] Two stars have fallen from the sky And your face has gone to your face It has become two eyes so green That are confused at the bottom of the sea   And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you   And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you
Badfinger,Come On,142.38,-6.832000000000002,0.877,3,   Many times we've been so out of tune with it  Many times we've never known the way  All the people all around never telling nobody  All the people all around never telling a soul     Many times we've been so out of tune with it  Many times we've never let it show  All the people all around never telling nobody  All the people all around never telling a soul ,  So come on let me hold you tight  So come on be with you all night  So come on let me hold you hold you  Come on     So come on let me hold you tight  So come on be with you all night  So come on let me hold you hold you  Come on 
Badfinger,Dennis,118.191,-8.446,0.6659999999999999,3,   Deeper waters flowed Recently it showed Tryin' to cover your head Tryin' to frighten you Tryin' to fight with you Really gettin' you scared But don't you worry you love of mine Pretty soon it will all be fine And we'll just go on  Higher hills to climb Climbin' all the time Tryin' to find a way through Fallin' down again on the ground again Wonderin' what you can do But don't you worry you love of ours They look like weeds but they're really flowers And they'll soon be gone  You won't stand up you won't sit down Your head's a mile above the ground And though we tend to scold you now I couldn't start to tell you how We couldn't start to tell you how There's just no way to say how much we love you  You little Dennis you You're full of new surprise Love you You little Dennis with the rascal in your eyes You're a prize  It could be bad it could be worse You're taking out your mother's purse And though you cried when you got told The money there was for the old To keep their dogs from getting cold The only thing that can't be sold is love  You little Dennis you You're full of new surprise Love you You little Dennis with the rascal in your eyes  Will you pick up your toys? Will you be a good boy? Will you please please?,  There's a way There's a way If you'll play If you'll stay There's a way through There's a way to take away blue Take away blue   There's a way There's a way If you'll play If you'll stay There's a way through There's a way to take away blue Take away blue
Badfinger,Just A Chance,123.517,-9.063,0.752,3,   I won't tell you if it's short or long All I know is that it don't feel wrong You may say it's not a great romance But all we want from you is just a chance to try Any way we can Don't you think we know it has to hurt Won't you understand?,  Doesn't matter what you think I do All I wanna do is see it through You may say it's not a great romance But all I want from you is just a chance to try Any way at all Don't you think we know it has to hurt Are minds that small?   Doesn't matter what you think I do All I wanna do is see it through You may say it's not a great romance But all I want from you is just a chance to try Any way we can Don't you think we know it has to hurt Won't you understand?
Badfinger,Know One Knows,119.829,-8.228,0.743,3,   Keep it coming keep it long Caress me with your body song Reach it higher with each sigh Knowing soon that we will fly    Keep it moving keep it bright And guide me with your body light Come in closer with each sigh Knowing soon that we will fly    Keep on feeling keep it whole And lead me with your body soul Take me higher with each sigh Knowing you can make me fly,  No one knows it No one knows it No one knows it no No one knows how good I feel When you let it show   No one knows it No one knows it No one knows it no No one knows how good I feel When I see you glow  No one knows it No one knows it No one knows it no No one knows how good I feel When you let it flow    No one knows No one knows No one knows No one knows how good I feel When you let it show No one knows No one knows how good I feel When you let it flow.)
Badfinger,Rock N' Roll Contract,159.335,-9.317,0.841,3,   Wrapped up in a rock 'n' roll contract  Lots of things I had to sign at the time  Man told me not to worry 'bout the business  Just keep on poppin' those hits     Sat down in my pyramid mansion  Old Martin seems to know all the chords  Tired of beggin' I can make it without them  Played the blues so I wouldn'Â­t get bored ,  Know you can know you can  Know you can know you can 
Badfinger,Three Time Loser,125.466,-8.013,0.897,3,    And you know just where you stand  But it's hard to make the plan  When all that you do is wrong  And no one to find a song to play  ,   Three time loser  White line user  Mr. Groover  Where's it end?   And there's nothing that you can say  You can make it most any day  And if you try very hard  You know you might find a yard or two   Three time loser  White line user  Mr. Groover  Where's it end?   And there's nothing that you can say  You can make it most any day  And if you try very hard  You know you might find a yard or two   
Badfinger,Too Hung Up On You,100.904,-8.514,0.731,3,Baby I want you by my side to be forever Without you I can never face the stormy weather,  Am I living this paradise for someone to say it's wrong  Am I burning this love too bright when you don't hold on so long   Oh am I living a lie am I too hung up on you   Baby be the bitter end live without you  I get lonely to pass the time and doubt never on you  Am I living this paradise for someone to say it's wrong  Am I burning this love too bright when you don't hold on so long   Oh am I living a lie am I too hung up on you   Am I wasting my time am I loosing my mind yeah  I can't hold on so long I don't wanna be wrong again   Am I living this paradise for someone to say it's wrong  Am I burning this love too bright when you don't hold on so long 
Billie Holiday,Gloomy Sunday,127.089,-11.273,0.0823,6,   Little white flowers Will never awaken you Not where the black coach Of sorrow has taken you Angels have no thoughts Of ever returning you Would they be angry If I thought of joining you    And prayers that are said I know Let them not weep Let them know that I'm glad to go Death is no dream,  Gloomy Sunday Gloomy is Sunday With shadows I spend it all My heart and I Have decided to end it all Soon there'll be candles   Gloomy Sunday Dreaming I was only dreaming I wake and I find you asleep In the deep of my heart here Darling I hope
