Artist,Song Title,sadness,joy,fear,disgust,anger
Alicia Keys,101,0.571065,0.054482,0.322099,0.042283,0.301698
Alicia Keys,28 Thousand Days,0.184473,0.624789,0.088717,0.154802,0.128243
Ariana Grande,ABC,0.129226,0.760034,0.129006,0.003537,0.023251
Ariana Grande,All I Want for Christmas Is You,0.118178,0.793305,0.086532,0.01407,0.015707
Ariana Grande,Almost Is Never Enough,0.162753,0.521819,0.086315,0.00978,0.038335
Ben Harper,A House Is A Home,0.492299,0.17364,0.381799,0.020932,0.081338
Ben Harper,Ain't Too Proud to Beg,0.123025,0.712377,0.09372,0.044664,0.080241
Ben Harper,All That Matters Now,0.269951,0.592749,0.066655,0.021417,0.060316
Big Sean,10 2 10,0.419919,0.090773,0.511651,0.019066,0.134516
Big Sean,100 Keys,0.295743,0.471463,0.050315,0.052153,0.185217
Big Sean,100,0.918894,0.035436,0.084337,0.018027,0.052868
Cher Lloyd,Activated,0.172965,0.211225,0.276528,0.034867,0.547236
Cher Lloyd,Alone With Me,0.392509,0.417181,0.193921,0.016028,0.08112
Cher Lloyd,Beautiful People,0.674057,0.241108,0.087949,0.010958,0.069648
Cher Lloyd,Behind The Music,0.101993,0.74458,0.00801,0.147364,0.031401
Christina Grimmie,Absolutely Final Goodbye,0.813929,0.018741,0.119344,0.112746,0.172592
Christina Grimmie,After You Get What You Want,0.401319,0.063019,0.379867,0.094809,0.27543
Christina Grimmie,Anybody's You,0.669354,0.496109,0.058237,0.023173,0.049345
David Archuleta,A Little Too Not Over You,0.833049,0.032397,0.168167,0.077406,0.080917
David Archuleta,Crush,0.631703,0.612971,0.163219,0.120302,0.163289
Drake,God's Plan,0.433376,0.064318,0.57863,0.015384,0.152959
Drake,Hotline Bling,0.102278,0.285363,0.111696,0.012257,0.059235
Drake,One Dance,0.220725,0.33347,0.220199,0.020587,0.112897
Drake,Passionfruit,0.654705,0.069083,0.158375,0.121817,0.195152
Ed Sheeran,Addicted,0.286776,0.123984,0.482395,0.039954,0.055315
Ed Sheeran,Afire Love,0.093333,0.783683,0.094361,0.014252,0.044636
Ed Sheeran,All of the Stars,0.051719,0.391065,0.523743,0.013377,0.007029
Ed Sheeran,Amsterdam (Sweet Mary Jane),0.047686,0.920146,0.013918,0.006285,0.016702
Ed Sheeran,Galway Girl,0.024404,0.807101,0.008151,0.083574,0.109642
Ed Sheeran,Perfect,0.030959,0.882229,0.097994,0.003209,0.001653
Ed Sheeran,Shape of You,0.013905,0.853014,0.030972,0.071592,0.053945
Eminem,Lose Yourself,0.347994,0.52434,0.111531,0.005835,0.044621
Eminem,Love the Way You Lie,0.761391,0.084122,0.126553,0.020044,0.160237
Eminem,Rap God,0.228105,0.023013,0.135733,0.354449,0.616029
Harry Styles,Ever Since New York,0.17102,0.030714,0.203766,0.012785,0.100826
Harry Styles,Kiwi,0.173824,0.244491,0.131969,0.031358,0.233197
Harry Styles,Sign of the Times,0.662581,0.013218,0.142,0.100655,0.206345
Harry Styles,Two Ghosts,0.236074,0.366779,0.163523,0.128933,0.097438
Hozier,From Eden,0.793044,0.03057,0.154535,0.054751,0.148543
Hozier,Like Real People Do,0.03344,0.83491,0.020701,0.073251,0.022032
Hozier,Someone New,0.118108,0.720673,0.093636,0.015335,0.067959
Hozier,Take Me to Church,0.058826,0.612138,0.03255,0.036608,0.254663
Hozier,Work Song,0.103784,0.073793,0.681296,0.065951,0.144745
Jakob Dylan,All Day And All Night,0.326633,0.4116,0.208873,0.102315,0.070181
Jakob Dylan,Costa Rica,0.009966,0.794965,0.178881,0.04394,0.010963
Jakob Dylan,Down on Our Own Shield,0.129657,0.683045,0.115062,0.035718,0.050897
Jessie J,Abracadabra,0.122332,0.206305,0.217955,0.063404,0.604956
Jessie J,Alive,0.136567,0.609264,0.04051,0.047431,0.082401
Jessie J,Bang Bang,0.007273,0.026855,0.043296,7e-06,0.000659
Jessie J,Domino,0.047399,0.798442,0.01528,0.082002,0.034184
Jessie J,Price Tag,0.081867,0.57229,0.02066,0.17284,0.121186
John Lennon,A Day In The Life,0.127959,0.63734,0.160088,0.122666,0.052751
John Lennon,Imagine,0.106839,0.648799,0.113667,0.024638,0.026607
Justin Bieber,Company,0.090418,0.036785,0.06167,0.028413,0.134177
Justin Bieber,Love Yourself,0.070351,0.748378,0.037243,0.014355,0.031631
Justin Bieber,Sorry,0.516664,0.005572,0.183648,0.052385,0.087717
Justin Bieber,What Do You Mean,0.208582,0.459129,0.159336,0.059463,0.133443
Mariah Carey,#Beautiful,0.144458,0.435323,0.017468,0.015725,0.399236
Mariah Carey,Always Be My Baby,0.021652,0.482652,0.161722,0.004481,0.042295
Mariah Carey,Obsessed,0.231131,0.123996,0.087971,0.145583,0.628113
Mariah Carey,Touch My Body,0.075106,0.319193,0.02516,0.248498,0.482511
Michael Jackson,Beat It,0.056254,0.061916,0.032714,0.003217,0.015144
Michael Jackson,Billie Jean,0.434205,0.121737,0.116084,0.140575,0.198383
Michael Jackson,Smooth Criminal,0.09407,0.021431,0.155507,0.074033,0.270455
Michael Jackson,They Don't Care About Us,0.465497,0.009834,0.175905,0.086804,0.17835
Miley Cyrus,4x4,0.202617,0.239637,0.094718,0.020146,0.10913
Miley Cyrus,7 Things,0.613893,0.151335,0.081006,0.030912,0.306199
Miley Cyrus,Adore You,0.390978,0.357566,0.052064,0.006804,0.036264
owl city,Fireflies,0.595272,0.102359,0.150363,0.009007,0.166218
owl city,The Saltwater Room,0.417976,0.327418,0.118238,0.027264,0.120046
Paramore,Ain't it Fun,0.090771,0.863935,0.021647,0.003638,0.01027
Paramore,Fake Happy,0.160564,0.065785,0.132648,0.018549,0.04022
Paramore,Hard Times,0.108441,0.024459,0.033657,2.5e-05,0.000614
Paramore,Rose-Colored Boy,0.676807,0.028972,0.191207,0.081549,0.087508
Paramore,Still Into You,0.160564,0.065785,0.132648,0.018549,0.04022
Radiohead,All I Need,0.209165,0.019249,0.184546,0.113191,0.27897
Radiohead,Burn the Witch,0.293225,0.112886,0.204392,0.070913,0.142087
Radiohead,Creep,0.087257,0.004517,0.239587,0.178694,0.599232
Radiohead,House of Cards,0.407106,0.115401,0.266758,0.043402,0.374808
Radiohead,True Love Waits,0.265515,0.047341,0.0885,0.0331,0.069038
Rihanna,Diamonds,0.030777,0.891312,0.011899,0.005691,0.005538
Rihanna,Loveeeeee Song,0.195506,0.295863,0.262328,0.024893,0.115056
Rihanna,Stay,0.371688,0.246521,0.220182,0.025462,0.102027
Rihanna,Wild Thoughts,0.277755,0.515892,0.15684,0.021689,0.042574
Rihanna,Work,0.473276,0.440431,0.529751,0.085386,0.109763
Sia,Big Girls Cry,0.891479,0.013472,0.151485,0.042976,0.092547
Sia,Burn the Pages,0.26585,0.069879,0.053512,0.010391,0.037082
Sia,Chandelier,0.684975,0.170931,0.103137,0.030143,0.106204
