Artist,Song Title,sadness,joy,fear,disgust,anger
Alicia Keys,101,0.755442,0.078146,0.08736,0.077448,0.172543
Alicia Keys,28 Thousand Days,0.455974,0.203143,0.36686,0.094642,0.080229
Ariana Grande,ABC,0.076617,0.714885,0.089242,0.007598,0.082488
Ariana Grande,All I Want for Christmas Is You,0.323746,0.42077,0.260275,0.011641,0.146124
Ariana Grande,Almost Is Never Enough,0.505373,0.272861,0.028019,0.118144,0.183696
Ben Harper,A House Is A Home,0.591305,0.054765,0.479563,0.019922,0.074754
Ben Harper,Ain't Too Proud to Beg,0.399553,0.562791,0.017234,0.012128,0.028629
Ben Harper,All That Matters Now,0.764776,0.04749,0.215566,0.049946,0.114457
Big Sean,10 2 10,0.525978,0.008852,0.324128,0.099337,0.419207
Big Sean,100 Keys,0.321783,0.058167,0.093795,0.133084,0.697379
Big Sean,100,0.709688,0.021246,0.119061,0.094369,0.366941
Cher Lloyd,Activated,0.307328,0.125994,0.242625,0.112944,0.389725
Cher Lloyd,Alone With Me,0.457063,0.375945,0.092231,0.03144,0.13159
Cher Lloyd,Beautiful People,0.238752,0.36565,0.288906,0.093108,0.11993
Cher Lloyd,Behind The Music,0.440899,0.011924,0.267795,0.320502,0.372207
Christina Grimmie,Absolutely Final Goodbye,0.199518,0.308236,0.173568,0.150849,0.2112
Christina Grimmie,After You Get What You Want,0.164617,0.423126,0.229653,0.066133,0.163147
Christina Grimmie,Anybody's You,0.659862,0.018767,0.171125,0.06321,0.400342
David Archuleta,A Little Too Not Over You,0.714717,0.020031,0.349575,0.016489,0.155886
David Archuleta,Crush,0.564196,0.104967,0.252149,0.028852,0.125114
Drake,God's Plan,0.651951,0.185355,0.112139,0.014818,0.163379
Drake,Hotline Bling,0.684169,0.06816,0.204621,0.092941,0.180133
Drake,One Dance,0.532076,0.026747,0.46964,0.086839,0.113524
Drake,Passionfruit,0.525826,0.228414,0.121237,0.017379,0.223141
Ed Sheeran,Addicted,0.68983,0.056829,0.075615,0.059421,0.022015
Ed Sheeran,Afire Love,0.826586,0.027417,0.232013,0.018007,0.096168
