Artist,Song Title,anger,joy,fear,sadness,surprise
Albert Ayler,Music is the Healing force of the Universe,-1,-1,-1,-1,-1
Antonio Flores,Isla de Palma,-1,-1,-1,-1,-1
Badfinger,Come On,0.17156592010000002,0.21153303980000002,0.18381118770000002,0.35865968470000004,0.0744301081
Badfinger,Dennis,-1,-1,-1,-1,-1
Badfinger,Just A Chance,-1,-1,-1,-1,-1
Badfinger,Know One Knows,-1,-1,-1,-1,-1
Badfinger,Rock N' Roll Contract,0.12307682630000001,0.0515874214,0.1007909179,0.7031441927000001,0.0214005858
Badfinger,Three Time Loser,0.6369498968,0.0193265621,0.059873648,0.2753638029,0.0084860772
Badfinger,Too Hung Up On You,-1,-1,-1,-1,-1
Billie Holiday,Gloomy Sunday,0.07804612820000001,0.3390211463,0.1586255729,0.3966062665,0.027700917800000002
Bob Brozman,The Lonesome Road,-1,-1,-1,-1,-1
Chris Cornell,Before We Disappear,0.4549124241,0.0158166066,0.0706723779,0.4459502697,0.0126483273
Chris Cornell,Bend In The Road,0.060306981200000005,0.1790735722,0.0421110094,0.5219287872,0.1965796649
Chris Cornell,Circling,-1,-1,-1,-1,-1
Chris Cornell,Dead Wishes,-1,-1,-1,-1,-1
Chris Cornell,Higher Truth,0.0342216454,0.6615099311,0.139876619,0.1129597127,0.051432095500000004
Chris Cornell,Josephine,0.5688551664,0.1647877097,0.0263874717,0.2321329117,0.0078367162
Chris Cornell,Let Your Eyes Wander,0.3676261008,0.0249152444,0.037416312800000004,0.5662747622000001,0.0037675924000000003
Chris Cornell,Misery Chain,-1,-1,-1,-1,-1
Chris Cornell,Murderer Of Blue Skies,0.0939782858,0.017982844300000002,0.0171916038,0.8360620737000001,0.034785185
Chris Cornell,Nearly Forgot My Broken Heart,0.282786876,0.025509104100000003,0.1615047902,0.5264930725,0.0037061484
Chris Cornell,Only These Words,-1,-1,-1,-1,-1
Chris Cornell,Our Time In The Universe,-1,-1,-1,-1,-1
Chris Cornell,Through The Window,0.17136058210000002,0.031522385800000004,0.0185411423,0.7652262449,0.0133497249
Chris Cornell,Worried Moon,0.1944409013,0.0392850041,0.2146378011,0.5429714918,0.0086648753
Chris Cornell,Wrong Side,0.08293193580000001,0.06908412280000001,0.2851895094,0.4213783145,0.1414160877
Del Shannon,Runaway,0.0893148854,0.09993951770000001,0.6903259754000001,0.0878582373,0.0325613394
Donny Hathaway,Come Little Children,-1,-1,-1,-1,-1
Donny Hathaway,Flying Easy,-1,-1,-1,-1,-1
Donny Hathaway,I Know It's You,0.1008665413,0.038970001000000004,0.3743940592,0.4408379793,0.0449313931
Donny Hathaway,I Love You More Than You'll Ever Know,0.3110906482,0.1387900263,0.1541048288,0.3866133094,0.0094011743
Donny Hathaway,Lord Help Me,-1,-1,-1,-1,-1
Donny Hathaway,Love love love,-1,-1,-1,-1,-1
Donny Hathaway,Magdalena,-1,-1,-1,-1,-1
Donny Hathaway,Someday We'll All Be Free,-1,-1,-1,-1,-1
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,-1,-1,-1,-1,-1
Elliott Smith,A Passing Feeling,0.0388238318,0.0253217705,0.8977621794,0.036197979000000005,0.0018941635
Elliott Smith,Coast To Coast,0.1490301192,0.048170894400000004,0.0923508331,0.5864101052,0.1240380481
Elliott Smith,Don't Go Down,-1,-1,-1,-1,-1
Elliott Smith,King's Crossing,0.1927724928,0.0527611636,0.2132834196,0.454038918,0.087144047
Elliott Smith,Let's Get Lost,-1,-1,-1,-1,-1
Elliott Smith,Little One,0.29271119830000003,0.2370426804,0.2932569981,0.1675266176,0.009462485100000001
Elliott Smith,Memory Lane,0.1235519275,0.005681140800000001,0.848302722,0.0212638751,0.001200329
Elliott Smith,Pretty (Ugly Before),0.1972621977,0.0210102443,0.050699859900000005,0.6676825881,0.06334513430000001
Elliott Smith,Shooting Star,0.0821201056,0.0137771443,0.035290222600000004,0.8084293604,0.060383182
Elliott Smith,Strung Out Again,-1,-1,-1,-1,-1
Elliott Smith,The Last Hour,-1,-1,-1,-1,-1
Elliott Smith,Twilight,-1,-1,-1,-1,-1
Ephraim Lewis,Drowning in Your Eyes,0.294929266,0.11908966300000001,0.061871178400000004,0.39840525390000003,0.1257046312
Ephraim Lewis,Mortal Seed,-1,-1,-1,-1,-1
Ephraim Lewis,Sad Song,-1,-1,-1,-1,-1
Germs,American Leather,-1,-1,-1,-1,-1
Germs,Caught In My Eye,-1,-1,-1,-1,-1
Germs,Communist Eyes,-1,-1,-1,-1,-1
Germs,Dragon Lady,-1,-1,-1,-1,-1
Germs,Land of Treason,0.4059158564,0.1473341733,0.09986202420000001,0.31700050830000004,0.029887426600000003
Germs,Let's Pretend,0.6948159337,0.0067211892,0.0350520313,0.26207926870000003,0.0013315245000000001
Germs,Lexicon Devil,-1,-1,-1,-1,-1
Germs,Manimal,-1,-1,-1,-1,-1
Germs,Media Blitz,0.3351356387,0.1258194298,0.0638741031,0.4519171715,0.023253724
Germs,Our Way,0.2175849527,0.0396060124,0.07701335100000001,0.6607583761,0.005037393
Germs,Richie Dagger's Crime,-1,-1,-1,-1,-1
Germs,Shut Down,-1,-1,-1,-1,-1
Germs,Strange Notes,-1,-1,-1,-1,-1
Germs,The Other Newest One,-1,-1,-1,-1,-1
Germs,The Slave,-1,-1,-1,-1,-1
Germs,We Must Bleed,-1,-1,-1,-1,-1
Germs,What We Do Is Secret,-1,-1,-1,-1,-1
Gin Blossoms,"Hey, Jealousy",0.25576311350000003,0.040266126400000005,0.1983331442,0.4734286964,0.0322089382
Herman Brood,Dance On,0.0164283775,0.6488198042000001,0.1441494226,0.1660783589,0.024524111300000002
Herman Brood,My Way,-1,-1,-1,-1,-1
Herman Brood,So Long,0.0404340401,0.7170769572,0.0978413224,0.1258119047,0.0188358258
Herman Brood,When I Get Home,0.1229789481,0.0326913707,0.2338322848,0.6024399996,0.008057409
hide,Breeding,-1,-1,-1,-1,-1
hide,ever free,0.2590659857,0.024931144000000002,0.1420150846,0.5654444695,0.0085433368
hide,Hurry go round,-1,-1,-1,-1,-1
hide,Leather Face,0.2446557283,0.0497209206,0.241851896,0.4549853802,0.0087860879
hide,Pink Cloud Assembly,-1,-1,-1,-1,-1
hide,Pink Spider,0.10163298250000001,0.0673699901,0.0583171248,0.69792521,0.0747547299
hide,Rocket Dive,0.0925863907,0.5878502727,0.1296675354,0.1654369235,0.024458840500000002
Johnny J,Better Off,-1,-1,-1,-1,-1
Johnny J,Get Away From Me,0.6321346760000001,0.013096299,0.0357524715,0.26485338810000003,0.0541632473
Johnny J,I'm a Better Man,-1,-1,-1,-1,-1
Johnny J,Love's the Way,-1,-1,-1,-1,-1
Johnny J,Something She Can Feel,-1,-1,-1,-1,-1
Johnny J,Why You Want Me Now,-1,-1,-1,-1,-1
Jonghyun,#Hashtag,0.1698001623,0.0153058451,0.1397437155,0.5544193983,0.12073084710000001
Jonghyun,Before Our Spring,0.0840458199,0.059680849300000005,0.5725717545,0.2710988522,0.0126027968
Jonghyun,Grease,0.1544576138,0.026488727,0.07593957330000001,0.7208108306000001,0.022303234800000002
Jonghyun,Just for a day,0.2411645651,0.042166516200000004,0.2715560198,0.42754542830000003,0.0175674371
Jonghyun,Only One You Need,0.7671188116000001,0.0161936637,0.0315087251,0.1737309247,0.011447815200000001
Jonghyun,Rewind,0.70168221,0.012137125200000001,0.053504481900000005,0.2318676412,0.0008084959
Jonghyun,Sentimental,0.0824760944,0.0343385264,0.1761643589,0.2572365105,0.4497845769
Jonghyun,Shinin',0.0013898715000000002,0.8274816871,0.0234147944,0.0047343187,0.142979309
Jonghyun,Sightseeing,0.0399854183,0.1248143464,0.0718470663,0.237675339,0.5256778002
Jonghyun,Take The Dive,0.1193587333,0.31428670880000004,0.4591138363,0.0783011094,0.028939642
Joy Division,A Means to an End,-1,-1,-1,-1,-1
Joy Division,Atrocity Exhibition,-1,-1,-1,-1,-1
Joy Division,Colony,-1,-1,-1,-1,-1
Joy Division,Decades,-1,-1,-1,-1,-1
Joy Division,Heart and Soul,-1,-1,-1,-1,-1
Joy Division,Isolation,-1,-1,-1,-1,-1
Joy Division,Love Will Tear Us Apart,-1,-1,-1,-1,-1
Joy Division,Passover,-1,-1,-1,-1,-1
Joy Division,The Eternal,-1,-1,-1,-1,-1
Joy Division,Twenty Four Hours,-1,-1,-1,-1,-1
Keith Emerson,"The Endless Enigma Suite, Pt. 1",0.47556856270000003,0.0067363922,0.08917731050000001,0.4228470922,0.0056706341
Keith Emerson,"The Endless Enigma Suite, Pt. 2",-1,-1,-1,-1,-1
Kim Kwang-seok,Get Up(with Common Ground),0.1602597386,0.28683093190000003,0.2535052896,0.22044327860000001,0.07896075400000001
Kim Kwang-seok,Where the Wind Rises(with Hareem),0.0382312797,0.1187663525,0.7211317420000001,0.1087535173,0.0131171253
Kingston Wall,Alt-Land-Is,-1,-1,-1,-1,-1
Kingston Wall,Another Piece of Cake,-1,-1,-1,-1,-1
Kingston Wall,For All Mankind,-1,-1,-1,-1,-1
Kingston Wall,"I'm the King, I'm the Sun",0.6992256045,0.0317580178,0.1162694618,0.1322818846,0.0204650406
Kingston Wall,Party Goes On,0.191047281,0.1479906738,0.1280565858,0.5022855997,0.0306199007
Kingston Wall,Take You to Sweet Harmony,-1,-1,-1,-1,-1
Kingston Wall,The Real Thing,0.15212979910000002,0.2648794651,0.0890456736,0.2028870583,0.29105794430000004
Kingston Wall,Time,-1,-1,-1,-1,-1
Kingston Wall,Welcome to the Mirrorland,0.1502278,0.0865923911,0.18732842800000002,0.41710305210000004,0.1587483287
Link 80,Better Than Shit,0.4490325451,0.054515656100000004,0.1204633117,0.35176873210000004,0.0242197569
Link 80,For What It's Worth,-1,-1,-1,-1,-1
Link 80,No Such Thing,-1,-1,-1,-1,-1
Link 80,Packing Up,0.6675962806,0.0242414009,0.0354301333,0.2592704594,0.0134617519
Link 80,The Truth of It,-1,-1,-1,-1,-1
