Artist,Song Title,anger,joy,fear,sadness,surprise
Albert Ayler,Music is the Healing force of the Universe,-1,-1,-1,-1,-1
Antonio Flores,Isla de Palma,0.5945248604000001,0.0098449579,0.0762260631,0.2993499637,0.0200541131
Badfinger,Come On,0.4050667882,0.0109958472,0.009989848400000001,0.4689028859,0.1050446704
Badfinger,Dennis,-1,-1,-1,-1,-1
Badfinger,Just A Chance,-1,-1,-1,-1,-1
Badfinger,Know One Knows,-1,-1,-1,-1,-1
Badfinger,Rock N' Roll Contract,-1,-1,-1,-1,-1
Badfinger,Three Time Loser,-1,-1,-1,-1,-1
Badfinger,Too Hung Up On You,0.19642050560000002,0.0411668569,0.0457181558,0.7061832547,0.0105112307
Billie Holiday,Gloomy Sunday,0.0620902553,0.5046999454000001,0.2275260687,0.1791703701,0.0265133791
Bob Brozman,The Lonesome Road,0.1211475357,0.1236311719,0.1218113378,0.4703046381,0.1631053686
Chris Cornell,Before We Disappear,-1,-1,-1,-1,-1
Chris Cornell,Bend In The Road,0.5296294689000001,0.0206123888,0.0883361101,0.3320716023,0.0293504484
Chris Cornell,Circling,-1,-1,-1,-1,-1
Chris Cornell,Dead Wishes,-1,-1,-1,-1,-1
Chris Cornell,Higher Truth,-1,-1,-1,-1,-1
Chris Cornell,Josephine,-1,-1,-1,-1,-1
Chris Cornell,Let Your Eyes Wander,-1,-1,-1,-1,-1
Chris Cornell,Misery Chain,0.47255271670000004,0.0357578546,0.0894498378,0.3890984058,0.013141192500000001
Chris Cornell,Murderer Of Blue Skies,-1,-1,-1,-1,-1
Chris Cornell,Nearly Forgot My Broken Heart,-1,-1,-1,-1,-1
Chris Cornell,Only These Words,-1,-1,-1,-1,-1
Chris Cornell,Our Time In The Universe,0.041173853,0.1768801808,0.2235322595,0.5411520004,0.017261795700000002
Chris Cornell,Through The Window,-1,-1,-1,-1,-1
Chris Cornell,Worried Moon,-1,-1,-1,-1,-1
Chris Cornell,Wrong Side,-1,-1,-1,-1,-1
Del Shannon,Runaway,0.0281682834,0.3954921961,0.0645185038,0.31467819210000003,0.19714283940000002
Donny Hathaway,Come Little Children,-1,-1,-1,-1,-1
Donny Hathaway,Flying Easy,-1,-1,-1,-1,-1
Donny Hathaway,I Know It's You,-1,-1,-1,-1,-1
Donny Hathaway,I Love You More Than You'll Ever Know,0.1738240123,0.0210200138,0.0768753216,0.7044750452,0.0238055624
Donny Hathaway,Lord Help Me,0.0713921785,0.23501080270000002,0.3431905806,0.28149998190000003,0.06890652330000001
Donny Hathaway,Love love love,-1,-1,-1,-1,-1
Donny Hathaway,Magdalena,-1,-1,-1,-1,-1
Donny Hathaway,Someday We'll All Be Free,-1,-1,-1,-1,-1
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,-1,-1,-1,-1,-1
Elliott Smith,A Passing Feeling,0.11965359,0.0613247566,0.5996094942,0.2089117467,0.010500391000000001
Elliott Smith,Coast To Coast,0.1873832345,0.3969784677,0.06755948070000001,0.09706003960000001,0.251018703
Elliott Smith,Don't Go Down,-1,-1,-1,-1,-1
Elliott Smith,King's Crossing,-1,-1,-1,-1,-1
Elliott Smith,Let's Get Lost,0.1183278039,0.12501743440000002,0.0371481329,0.5629450083,0.1565616131
Elliott Smith,Little One,0.1566815674,0.26545411350000003,0.2313092649,0.2998472452,0.046707816400000005
Elliott Smith,Memory Lane,-1,-1,-1,-1,-1
Elliott Smith,Pretty (Ugly Before),-1,-1,-1,-1,-1
Elliott Smith,Shooting Star,-1,-1,-1,-1,-1
Elliott Smith,Strung Out Again,-1,-1,-1,-1,-1
Elliott Smith,The Last Hour,-1,-1,-1,-1,-1
Elliott Smith,Twilight,-1,-1,-1,-1,-1
Ephraim Lewis,Drowning in Your Eyes,-1,-1,-1,-1,-1
Ephraim Lewis,Mortal Seed,-1,-1,-1,-1,-1
Ephraim Lewis,Sad Song,-1,-1,-1,-1,-1
Germs,American Leather,-1,-1,-1,-1,-1
Germs,Caught In My Eye,-1,-1,-1,-1,-1
Germs,Communist Eyes,-1,-1,-1,-1,-1
Germs,Dragon Lady,-1,-1,-1,-1,-1
Germs,Land of Treason,0.5406818986,0.027515847200000002,0.059562359,0.36351946,0.0087204082
Germs,Let's Pretend,0.07122109830000001,0.2648028135,0.3470636606,0.1844826639,0.1324297637
Germs,Lexicon Devil,-1,-1,-1,-1,-1
Germs,Manimal,-1,-1,-1,-1,-1
Germs,Media Blitz,-1,-1,-1,-1,-1
Germs,Our Way,0.0802714974,0.306761086,0.15548439320000002,0.41798770430000004,0.0394953191
Germs,Richie Dagger's Crime,-1,-1,-1,-1,-1
Germs,Shut Down,-1,-1,-1,-1,-1
Germs,Strange Notes,-1,-1,-1,-1,-1
Germs,The Other Newest One,-1,-1,-1,-1,-1
Germs,The Slave,0.3439352512,0.0975319594,0.2390657216,0.29909652470000003,0.0203705579
Germs,We Must Bleed,-1,-1,-1,-1,-1
Germs,What We Do Is Secret,-1,-1,-1,-1,-1
Gin Blossoms,"Hey, Jealousy",-1,-1,-1,-1,-1
Herman Brood,Dance On,-1,-1,-1,-1,-1
Herman Brood,My Way,-1,-1,-1,-1,-1
Herman Brood,So Long,-1,-1,-1,-1,-1
Herman Brood,When I Get Home,-1,-1,-1,-1,-1
hide,Breeding,0.45588225130000004,0.055044092200000005,0.1384663284,0.24316263200000002,0.1074446961
hide,ever free,0.28956449030000003,0.0878672451,0.09624542300000001,0.4976323247,0.028690531800000002
hide,Hurry go round,-1,-1,-1,-1,-1
hide,Leather Face,0.39628297090000003,0.0326732732,0.3524330258,0.21333689990000002,0.0052738097
hide,Pink Cloud Assembly,-1,-1,-1,-1,-1
hide,Pink Spider,0.0877865106,0.031289152800000004,0.0358768106,0.6140048504,0.23104269800000002
hide,Rocket Dive,0.2088439316,0.0870407522,0.0820457861,0.5746709108,0.047398649200000004
Johnny J,Better Off,0.5157209635000001,0.0216015298,0.09110921620000001,0.3306696713,0.040898643400000004
Johnny J,Get Away From Me,-1,-1,-1,-1,-1
Johnny J,I'm a Better Man,0.12619760630000001,0.0976394936,0.0861180574,0.419528842,0.2705159783
