Artist,Song Title,anger,joy,fear,sadness,surprise
Albert Ayler,Music is the Healing force of the Universe,0.1145368144,0.5509789586,0.1034530625,0.19219169020000001,0.038839455700000004
Antonio Flores,Isla de Palma,0.0284584239,0.6717574596,0.0250061229,0.1088425219,0.1659353971
Badfinger,Come On,0.1878167838,0.20786491040000002,0.1841610819,0.3101068139,0.1100504026
Badfinger,Dennis,0.2506693304,0.0584752224,0.2225412577,0.2611236274,0.2071905434
Badfinger,Just A Chance,0.129074201,0.2122023404,0.27880212660000003,0.1556924284,0.22422891860000002
Badfinger,Know One Knows,0.048330597600000004,0.1275998354,0.0517111421,0.40385147930000004,0.3685069084
Badfinger,Rock N' Roll Contract,0.12371917810000001,0.2792354822,0.2086906135,0.2748342156,0.1135204732
Badfinger,Three Time Loser,0.079137437,0.149790585,0.08538550880000001,0.6440708041000001,0.0416156985
Badfinger,Too Hung Up On You,0.08369668570000001,0.07848856600000001,0.052295424,0.5815242529,0.203995049
Billie Holiday,Gloomy Sunday,0.0708379522,0.0529983453,0.1120215803,0.7562708855,0.0078712711
Bob Brozman,The Lonesome Road,-1,-1,-1,-1,-1
Chris Cornell,Before We Disappear,0.161010772,0.0785137862,0.5649107099,0.1837233752,0.0118413866
Chris Cornell,Bend In The Road,0.6851983666,0.0370611995,0.0383639075,0.2101332843,0.0292432252
Chris Cornell,Circling,0.0658116266,0.1340436488,0.09802817550000001,0.4552465677,0.24686992170000002
Chris Cornell,Dead Wishes,0.6347520351,0.033327803,0.10445010660000001,0.21889984610000002,0.008570250100000001
Chris Cornell,Higher Truth,0.1201129481,0.019255910100000002,0.1932341754,0.6113027334000001,0.0560943447
Chris Cornell,Josephine,-1,-1,-1,-1,-1
Chris Cornell,Let Your Eyes Wander,-1,-1,-1,-1,-1
Chris Cornell,Misery Chain,0.25038105250000003,0.0808443204,0.07629845290000001,0.5401561260000001,0.0523200855
Chris Cornell,Murderer Of Blue Skies,-1,-1,-1,-1,-1
Chris Cornell,Nearly Forgot My Broken Heart,0.24511671070000002,0.1511074752,0.2413518578,0.3512822986,0.011141751
Chris Cornell,Only These Words,-1,-1,-1,-1,-1
Chris Cornell,Our Time In The Universe,0.1562331617,0.338757813,0.19832775,0.2631337047,0.0435475707
Chris Cornell,Through The Window,-1,-1,-1,-1,-1
Chris Cornell,Worried Moon,0.041148334700000004,0.0935838968,0.7286215425,0.12367667260000001,0.0129696084
Chris Cornell,Wrong Side,-1,-1,-1,-1,-1
Del Shannon,Runaway,0.09581072630000001,0.0560399741,0.7634474039,0.0751194507,0.0095823565
Donny Hathaway,Come Little Children,-1,-1,-1,-1,-1
Donny Hathaway,Flying Easy,0.028755059500000003,0.078838028,0.8025654554,0.023182783300000002,0.0666587278
Donny Hathaway,I Know It's You,-1,-1,-1,-1,-1
Donny Hathaway,I Love You More Than You'll Ever Know,0.2166568339,0.029441081,0.0449115448,0.6601884365,0.048802129900000005
Donny Hathaway,Lord Help Me,-1,-1,-1,-1,-1
Donny Hathaway,Love love love,0.009549307600000001,0.8585884571,0.0231350511,0.0155140962,0.0932130516
Donny Hathaway,Magdalena,-1,-1,-1,-1,-1
Donny Hathaway,Someday We'll All Be Free,-1,-1,-1,-1,-1
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,0.0622368827,0.1610595435,0.2233895361,0.5054398775,0.0478742495
Elliott Smith,A Passing Feeling,-1,-1,-1,-1,-1
Elliott Smith,Coast To Coast,0.1863753498,0.0523077473,0.0843185261,0.6038731337000001,0.07312517610000001
Elliott Smith,Don't Go Down,0.3006639481,0.134883672,0.1092167348,0.4387951493,0.016440555500000002
Elliott Smith,King's Crossing,0.6070334315,0.018638825,0.1065051556,0.2606393099,0.0071833506
Elliott Smith,Let's Get Lost,0.0935985148,0.3568392098,0.0744907036,0.3501268625,0.1249447018
Elliott Smith,Little One,0.066382125,0.6282309890000001,0.0729112625,0.1310461164,0.1014295146
Elliott Smith,Memory Lane,-1,-1,-1,-1,-1
Elliott Smith,Pretty (Ugly Before),0.07571518420000001,0.053562223900000004,0.117696777,0.6153740883000001,0.1376517713
Elliott Smith,Shooting Star,0.014810169100000001,0.0076901508,0.0078236368,0.9634136558,0.0062624128000000005
Elliott Smith,Strung Out Again,0.1709080935,0.2407994568,0.11170099680000001,0.3636057377,0.1129857451
Elliott Smith,The Last Hour,-1,-1,-1,-1,-1
Elliott Smith,Twilight,0.0404464453,0.3355978429,0.0553684942,0.4796374142,0.0889497697
Ephraim Lewis,Drowning in Your Eyes,0.1068396866,0.0364897437,0.0698935688,0.3551298678,0.4316471517
Ephraim Lewis,Mortal Seed,-1,-1,-1,-1,-1
Ephraim Lewis,Sad Song,0.15170070530000002,0.011848488800000001,0.0146949356,0.7846182585,0.037137635100000004
Germs,American Leather,-1,-1,-1,-1,-1
Germs,Caught In My Eye,0.269236654,0.0701094493,0.0669586957,0.5459398031,0.0477553718
Germs,Communist Eyes,0.104434602,0.0925893039,0.6069046855,0.16779445110000002,0.028277024600000002
Germs,Dragon Lady,-1,-1,-1,-1,-1
Germs,Land of Treason,-1,-1,-1,-1,-1
Germs,Let's Pretend,0.6046499014,0.015040719900000001,0.0533021614,0.3214820027,0.005525216
Germs,Lexicon Devil,-1,-1,-1,-1,-1
Germs,Manimal,0.3066216707,0.0447452962,0.25165116790000003,0.3760125637,0.0209693406
Germs,Media Blitz,0.149392873,0.0686468408,0.2991142571,0.4678556621,0.0149903595
Germs,Our Way,0.2018446028,0.1670160592,0.1414056718,0.3945376873,0.09519598630000001
Germs,Richie Dagger's Crime,-1,-1,-1,-1,-1
Germs,Shut Down,-1,-1,-1,-1,-1
Germs,Strange Notes,-1,-1,-1,-1,-1
Germs,The Other Newest One,-1,-1,-1,-1,-1
Germs,The Slave,0.2458446324,0.3238884211,0.22880312800000002,0.1903159916,0.0111478241
Germs,We Must Bleed,0.16962321100000002,0.0438192226,0.2767927945,0.47280061240000004,0.0369641706
Germs,What We Do Is Secret,-1,-1,-1,-1,-1
Gin Blossoms,"Hey, Jealousy",-1,-1,-1,-1,-1
Herman Brood,Dance On,0.0142322425,0.5398367643,0.28524792190000003,0.1504694372,0.0102135539
Herman Brood,My Way,-1,-1,-1,-1,-1
Herman Brood,So Long,0.08352742340000001,0.6221101880000001,0.09920943530000001,0.1738857627,0.0212672055
Herman Brood,When I Get Home,-1,-1,-1,-1,-1
hide,Breeding,-1,-1,-1,-1,-1
hide,ever free,0.5453712940000001,0.0332118012,0.0444605052,0.3625465631,0.014409918300000001
hide,Hurry go round,-1,-1,-1,-1,-1
hide,Leather Face,-1,-1,-1,-1,-1
hide,Pink Cloud Assembly,-1,-1,-1,-1,-1
hide,Pink Spider,0.09850296380000001,0.3327052593,0.1983574331,0.19507500530000002,0.1753593981
hide,Rocket Dive,0.0360043123,0.6801179647000001,0.06387172640000001,0.1496925503,0.0703134388
Johnny J,Better Off,-1,-1,-1,-1,-1
Johnny J,Get Away From Me,-1,-1,-1,-1,-1
Johnny J,I'm a Better Man,0.1237630621,0.0934157223,0.08445553480000001,0.43680351970000003,0.2615621388
Johnny J,Love's the Way,-1,-1,-1,-1,-1
Johnny J,Something She Can Feel,-1,-1,-1,-1,-1
Johnny J,Why You Want Me Now,-1,-1,-1,-1,-1
Jonghyun,#Hashtag,0.2586199343,0.0133674489,0.0472645201,0.6334123611,0.0473357029
Jonghyun,Before Our Spring,0.1105199382,0.0625345409,0.4230316281,0.4005679488,0.0033459342
Jonghyun,Grease,0.181129843,0.0105203949,0.024887003,0.7814177275,0.0020450016
Jonghyun,Just for a day,0.11854975670000001,0.15986472370000002,0.2050175965,0.44784501190000003,0.0687228218
Jonghyun,Only One You Need,0.2274349779,0.0180567466,0.0653727949,0.6859586835,0.0031768484
