Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse
Albert Ayler,Music is the Healing force of the Universe,0.297842,0.643527,0.023434,0.001863,0.058054
Antonio Flores,Isla de Palma,0.403503,0.377848,0.154008,0.15808,0.011867
Badfinger,Come On,0.428785,0.416169,0.064478,0.023707,0.171035
Badfinger,Dennis,0.061348,0.425657,0.467841,0.13389,0.066499
Badfinger,Just A Chance,0.514236,0.050308,0.193708,0.048115,0.143655
Badfinger,Know One Knows,0.486107,0.304272,0.234288,0.021502,0.074984
Badfinger,Rock N' Roll Contract,0.701646,0.062193,0.118404,0.104477,0.240947
Badfinger,Three Time Loser,0.515507,0.22886,0.133895,0.168,0.118165
Badfinger,Too Hung Up On You,0.210235,0.272624,0.149741,0.153876,0.114252
Billie Holiday,Gloomy Sunday,0.274873,0.306347,0.040596,0.005224,0.496923
Bob Brozman,The Lonesome Road,0.457361,0.204122,0.238156,0.058784,0.029774
Chris Cornell,Before We Disappear,0.317384,0.496134,0.11781,0.048092,0.109866
Chris Cornell,Bend In The Road,0.191621,0.693554,0.017372,0.003055,0.129111
Chris Cornell,Circling,0.569551,0.041718,0.554285,0.025083,0.072979
Chris Cornell,Dead Wishes,0.615354,0.218436,0.178887,0.104381,0.04768
Chris Cornell,Higher Truth,0.672986,0.063663,0.131557,0.106099,0.28499
Chris Cornell,Josephine,0.543885,0.035203,0.193867,0.275321,0.320851
Chris Cornell,Let Your Eyes Wander,0.211684,0.626149,0.073351,0.060451,0.108624
Chris Cornell,Misery Chain,0.602662,0.524435,0.14216,0.092139,0.187927
Chris Cornell,Murderer Of Blue Skies,0.214904,0.233325,0.099033,0.141549,0.499764
Chris Cornell,Nearly Forgot My Broken Heart,0.375369,0.065137,0.427198,0.162104,0.338014
Chris Cornell,Only These Words,0.247467,0.672878,0.043268,0.032027,0.041523
Chris Cornell,Our Time In The Universe,0.358566,0.401786,0.136081,0.00978,0.201823
Chris Cornell,Through The Window,0.766712,0.078323,0.134957,0.143501,0.076859
Chris Cornell,Worried Moon,0.091185,0.476891,0.513639,0.003359,0.004311
Chris Cornell,Wrong Side,0.639452,0.053254,0.156443,0.055125,0.38202
Del Shannon,Runaway,0.249214,0.656907,0.125629,0.001989,0.01207
Donny Hathaway,Come Little Children,0.697687,0.215683,0.083594,0.073947,0.049782
Donny Hathaway,Flying Easy,0.016385,0.949229,0.014914,0.007029,0.005114
Donny Hathaway,I Love You More Than You'll Ever Know,0.09085,0.713795,0.107607,0.043475,0.056162
Donny Hathaway,Lord Help Me,0.059698,0.716003,0.022702,0.005684,0.008867
Donny Hathaway,Love love love,0.136344,0.74854,0.128923,0.004604,0.016793
Donny Hathaway,Magdalena,0.459352,0.20021,0.136999,0.186594,0.286329
Donny Hathaway,Someday We'll All Be Free,0.07295,0.620038,0.34371,0.012163,0.013722
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,0.48438,0.093505,0.058717,0.227338,0.456476
Elliott Smith,A Passing Feeling,0.495476,0.035331,0.185409,0.040119,0.529884
Elliott Smith,Coast To Coast,0.337405,0.01923,0.188802,0.063707,0.673356
Elliott Smith,Don't Go Down,0.259339,0.473194,0.178368,0.026683,0.208453
Elliott Smith,King's Crossing,0.071386,0.589084,0.194245,0.04962,0.215675
Elliott Smith,Let's Get Lost,0.160949,0.251993,0.202323,0.118614,0.163833
Elliott Smith,Little One,0.704372,0.117242,0.185224,0.012136,0.081225
Elliott Smith,Memory Lane,0.050728,0.097055,0.48619,0.186834,0.488999
Elliott Smith,Pretty (Ugly Before),0.34824,0.513715,0.098056,0.097003,0.044646
Elliott Smith,Shooting Star,0.300936,0.541403,0.018086,0.094115,0.132272
Elliott Smith,Strung Out Again,0.105701,0.647248,0.028228,0.254386,0.061695
Elliott Smith,The Last Hour,0.611254,0.064362,0.374812,0.087512,0.159259
Elliott Smith,Twilight,0.52915,0.436049,0.070999,0.008802,0.011067
Ephraim Lewis,Drowning in Your Eyes,0.278002,0.629806,0.111237,0.006726,0.021566
Ephraim Lewis,Mortal Seed,0.36433,0.506253,0.017574,0.025213,0.144676
Ephraim Lewis,Sad Song,0.850209,0.03423,0.246544,0.024878,0.02224
Germs,American Leather,0.536321,0.04231,0.433583,0.080736,0.245523
Germs,Caught In My Eye,0.35714,0.099436,0.478995,0.096606,0.29118
Germs,Communist Eyes,0.205513,0.263982,0.077051,0.505217,0.109643
Germs,Dragon Lady,0.654902,0.093872,0.168422,0.082116,0.270678
Germs,Land of Treason,0.707552,0.061097,0.211179,0.147131,0.129035
Germs,Let's Pretend,0.594633,0.28764,0.055243,0.032539,0.148502
Germs,Lexicon Devil,0.573881,0.007457,0.110402,0.377127,0.304388
Germs,Manimal,0.434141,0.1818,0.281189,0.212777,0.152627
Germs,Media Blitz,0.372081,0.237791,0.087935,0.126704,0.286804
Germs,Our Way,0.827569,0.137361,0.031864,0.059773,0.024584
Germs,Richie Dagger's Crime,0.124419,0.424424,0.009632,0.446735,0.181816
Germs,Shut Down,0.26923,0.249208,0.216718,0.056214,0.41959
Germs,Strange Notes,0.480583,0.198334,0.135949,0.145823,0.255458
Germs,The Other Newest One,0.69112,0.155329,0.251288,0.02573,0.043637
Germs,The Slave,0.181833,0.301184,0.255796,0.390326,0.079621
