Song Title,text
Music is the Healing force of the Universe,  Music is the healing force of the universe Music of love Music is the spirit Music is life   Music is the healing force of the universe Music of love Music is giving Music is greatness
Isla de Palma,  And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you [watch] Two stars have fallen from the sky And your face has gone to your face It has become two eyes so green That are confused at the bottom of the sea   And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you   And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you
Come On,  So come on let me hold you tight  So come on be with you all night  So come on let me hold you hold you  Come on     So come on let me hold you tight  So come on be with you all night  So come on let me hold you hold you  Come on 
Dennis,  There's a way There's a way If you'll play If you'll stay There's a way through There's a way to take away blue Take away blue   There's a way There's a way If you'll play If you'll stay There's a way through There's a way to take away blue Take away blue
Just A Chance,  Doesn't matter what you think I do All I wanna do is see it through You may say it's not a great romance But all I want from you is just a chance to try Any way at all Don't you think we know it has to hurt Are minds that small?   Doesn't matter what you think I do All I wanna do is see it through You may say it's not a great romance But all I want from you is just a chance to try Any way we can Don't you think we know it has to hurt Won't you understand?
Know One Knows,  No one knows it No one knows it No one knows it no No one knows how good I feel When you let it show   No one knows it No one knows it No one knows it no No one knows how good I feel When I see you glow  No one knows it No one knows it No one knows it no No one knows how good I feel When you let it flow    No one knows No one knows No one knows No one knows how good I feel When you let it show No one knows No one knows how good I feel When you let it flow.)
Rock N' Roll Contract,  Know you can know you can  Know you can know you can 
Three Time Loser,   Three time loser  White line user  Mr. Groover  Where's it end?   And there's nothing that you can say  You can make it most any day  And if you try very hard  You know you might find a yard or two   Three time loser  White line user  Mr. Groover  Where's it end?   And there's nothing that you can say  You can make it most any day  And if you try very hard  You know you might find a yard or two   
Too Hung Up On You,  Am I living this paradise for someone to say it's wrong  Am I burning this love too bright when you don't hold on so long   Oh am I living a lie am I too hung up on you   Baby be the bitter end live without you  I get lonely to pass the time and doubt never on you  Am I living this paradise for someone to say it's wrong  Am I burning this love too bright when you don't hold on so long   Oh am I living a lie am I too hung up on you   Am I wasting my time am I loosing my mind yeah  I can't hold on so long I don't wanna be wrong again   Am I living this paradise for someone to say it's wrong  Am I burning this love too bright when you don't hold on so long 
Gloomy Sunday,  Gloomy Sunday Gloomy is Sunday With shadows I spend it all My heart and I Have decided to end it all Soon there'll be candles   Gloomy Sunday Dreaming I was only dreaming I wake and I find you asleep In the deep of my heart here Darling I hope
The Lonesome Road,  Look down look down that lonesome road Before you travel on. Look up look up and greet your maker For Gabriel blows his horn.   Look down look down that lonesome road Before you travel on. Look up look up and greet your maker For Gabriel blows his horn.
Before We Disappear,  How hard can it be To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live forever but I fear That time will hide the years    So how hard can it be To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live for ever but I fear That time can hide the years Like we were never here So hold on tightly my dear    So how hard can it be (how hard) To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live forever but I fear That time can hide the years Like we were never here So hold on tightly my dear  
Bend In The Road,  Everyone needs a touch Or a shoulder for crying The say love is a crutch I say love is blind And thats all that she needed But I could not supply When a bend in the road Put it out of my mind
Circling,  Circling around the drain Can't find my way back to home The road is long And never ends Dark is the heart that wanders   Circling around the drain Show me the way back home The road is long It never ends Dark is the heart that wanders
Dead Wishes,  Dead wishes on a broken chain White roses in a dead man's dream Down and out with everything to lose If these long dead wishes Ever do come true   Dead wishes on a burning lake White roses from my soul to keep Down and out with everything to win If my long since sunken ship Ever does come in (Round and round we all fall down And that's how ancient mountains crumble)   Dead wishes on a broken chain White roses in a dead man's dream Down and out with everything to lose If these long dead wishes Ever do come true  (Round and round we all fall down And that's how ancient mountains crumble)
Higher Truth,  But Ill take the truth The higher truth The higher truth I want the truth The higher truth The higher truth   But Ill take the truth The higher truth The higher truth I want the truth The higher truth The higher truth   Ill take a truth A higher truth A higher truth I want the truth The higher truth A higher truth
