id,love,joy,sadness,anger,fear,surprise
Music is the Healing force of the Universe,YES,NO,NO,NO,NO,NO
Isla de Palma,YES,YES,NO,NO,NO,NO
Come On,NO,NO,NO,NO,NO,NO
Dennis,NO,NO,YES,NO,NO,NO
Just A Chance,YES,YES,NO,NO,NO,NO
Know One Knows,NO,YES,NO,NO,YES,NO
Rock N' Roll Contract,NO,NO,NO,NO,NO,YES
Three Time Loser,NO,NO,NO,YES,NO,NO
Too Hung Up On You,YES,YES,NO,NO,NO,NO
Gloomy Sunday,NO,YES,YES,NO,NO,NO
The Lonesome Road,NO,YES,YES,NO,YES,NO
Before We Disappear,NO,NO,NO,NO,YES,NO
Bend In The Road,NO,NO,NO,YES,NO,NO
Circling,NO,NO,YES,NO,NO,YES
Dead Wishes,NO,YES,YES,NO,NO,NO
Higher Truth,NO,NO,NO,NO,NO,NO
Josephine,NO,NO,NO,NO,NO,NO
Let Your Eyes Wander,NO,NO,NO,NO,NO,NO
Misery Chain,NO,NO,NO,NO,NO,NO
Murderer Of Blue Skies,NO,NO,NO,NO,NO,YES
Nearly Forgot My Broken Heart,NO,YES,NO,YES,NO,YES
Only These Words,YES,YES,NO,NO,NO,NO
Our Time In The Universe,NO,NO,NO,NO,YES,NO
Through The Window,NO,YES,YES,YES,NO,NO
Worried Moon,NO,NO,YES,NO,YES,NO
Wrong Side,NO,NO,NO,NO,NO,NO
Runaway,NO,NO,NO,YES,NO,NO
Come Little Children,NO,NO,NO,NO,NO,NO
Flying Easy,NO,NO,NO,NO,NO,NO
I Know It's You,NO,NO,NO,NO,NO,NO
I Love You More Than You'll Ever Know,YES,YES,NO,NO,NO,NO
Lord Help Me,YES,YES,NO,NO,NO,NO
Love love love,YES,NO,NO,NO,NO,NO
Magdalena,NO,NO,NO,NO,NO,NO
Someday We'll All Be Free,NO,NO,NO,NO,NO,NO
A Distorted Reality is Now a Necessity to be Free,NO,NO,NO,NO,NO,YES
A Passing Feeling,NO,YES,YES,NO,NO,NO
Coast To Coast,NO,NO,NO,NO,NO,NO
Don't Go Down,NO,NO,YES,NO,NO,NO
King's Crossing,NO,NO,NO,YES,NO,NO
Let's Get Lost,NO,NO,NO,NO,NO,NO
Little One,NO,NO,NO,NO,NO,NO
Memory Lane,NO,NO,YES,YES,YES,NO
Pretty (Ugly Before),NO,YES,NO,NO,NO,NO
Shooting Star,NO,NO,YES,YES,NO,NO
Strung Out Again,NO,NO,NO,YES,NO,NO
The Last Hour,NO,NO,NO,NO,NO,NO
Twilight,NO,YES,YES,NO,NO,NO
Drowning in Your Eyes,NO,NO,NO,NO,YES,NO
Mortal Seed,NO,NO,NO,NO,NO,NO
Sad Song,NO,YES,YES,YES,NO,NO
American Leather,NO,NO,NO,NO,NO,NO
Caught In My Eye,NO,NO,NO,NO,NO,NO
Communist Eyes,NO,NO,NO,NO,NO,YES
Dragon Lady,NO,YES,YES,NO,NO,NO
Land of Treason,NO,NO,YES,YES,NO,NO
Let's Pretend,NO,YES,NO,YES,NO,NO
Lexicon Devil,NO,NO,NO,NO,NO,NO
Manimal,YES,NO,NO,NO,NO,NO
Media Blitz,NO,NO,NO,NO,NO,NO
Our Way,NO,NO,YES,NO,NO,NO
Richie Dagger's Crime,NO,NO,NO,NO,NO,NO
Shut Down,NO,NO,NO,YES,NO,NO
Strange Notes,NO,NO,YES,NO,NO,NO
The Other Newest One,NO,YES,NO,NO,YES,NO
The Slave,NO,NO,NO,NO,NO,YES
We Must Bleed,NO,NO,NO,YES,NO,NO
What We Do Is Secret,YES,NO,NO,NO,NO,NO
Dance On,YES,YES,NO,NO,NO,NO
My Way,NO,YES,NO,YES,NO,NO
So Long,NO,YES,NO,NO,NO,NO
When I Get Home,NO,NO,NO,NO,NO,NO
Breeding,NO,YES,NO,YES,YES,NO
ever free,NO,NO,NO,NO,NO,NO
Hurry go round,NO,YES,YES,YES,YES,NO
Leather Face,YES,YES,YES,YES,YES,NO
Pink Cloud Assembly,NO,NO,NO,NO,NO,NO
Pink Spider,NO,YES,YES,NO,YES,NO
Rocket Dive,NO,NO,NO,NO,NO,NO
#Hashtag,NO,NO,YES,NO,NO,NO
Before Our Spring,NO,NO,NO,YES,NO,NO
Grease,NO,NO,NO,NO,NO,NO
Im So Curious,YES,NO,NO,YES,YES,YES
Just for a day,NO,NO,NO,NO,YES,NO
Only One You Need,NO,NO,NO,NO,NO,NO
Rewind,NO,NO,NO,NO,NO,NO
Sentimental,NO,YES,NO,NO,NO,NO
Shinin',NO,YES,NO,NO,YES,NO
Sightseeing,NO,NO,YES,NO,YES,NO
Take The Dive,NO,NO,NO,NO,NO,NO
A Means to an End,NO,YES,YES,NO,NO,YES
Atrocity Exhibition,YES,NO,NO,NO,NO,NO
Colony,YES,NO,NO,NO,NO,NO
Decades,NO,NO,NO,NO,NO,YES
Heart and Soul,NO,NO,NO,NO,NO,NO
Isolation,NO,NO,NO,NO,NO,NO
Love Will Tear Us Apart,YES,YES,NO,NO,NO,NO
Passover,NO,NO,NO,NO,NO,NO
The Eternal,NO,NO,NO,YES,NO,NO
Twenty Four Hours,NO,NO,NO,NO,NO,NO
Get Up(with Common Ground),YES,YES,NO,NO,NO,NO
Where the Wind Rises(with Hareem),NO,YES,YES,NO,YES,NO
Alt-Land-Is,NO,NO,NO,YES,NO,YES
Another Piece of Cake,NO,NO,NO,NO,NO,NO
For All Mankind,NO,YES,YES,YES,NO,NO
Party Goes On,NO,NO,NO,YES,YES,NO
Take You to Sweet Harmony,NO,YES,NO,NO,NO,NO
The Real Thing,NO,NO,YES,NO,NO,YES
Welcome to the Mirrorland,NO,NO,NO,NO,NO,NO
Better Than Shit,NO,YES,NO,YES,YES,NO
For What It's Worth,NO,NO,YES,NO,NO,NO
No Such Thing,NO,NO,YES,YES,NO,NO
Packing Up,NO,NO,YES,YES,NO,NO
The Truth of It,NO,NO,YES,YES,NO,YES
Halfway Right,NO,NO,YES,NO,YES,NO
Heavy (feat. Kiiara),NO,NO,YES,NO,NO,YES
A Very Good Thing,NO,NO,NO,NO,NO,NO
Kim the Waitress,NO,NO,YES,NO,NO,YES
She's Goin' Thru My Head,NO,NO,NO,NO,NO,YES
A Straight Line,NO,YES,YES,YES,YES,NO
All I'm Saying,NO,NO,YES,YES,NO,NO
Baby It's Alright,NO,NO,NO,NO,NO,NO
Breathe,NO,NO,NO,NO,NO,NO
Don't Save Me from Myself,NO,NO,NO,NO,NO,NO
Fear,NO,YES,NO,NO,NO,NO
Flesh and Blood,NO,NO,NO,YES,NO,NO
Get on the Inside,NO,NO,NO,NO,NO,NO
Let Me Show You,NO,NO,NO,YES,NO,NO
Possibilities,NO,YES,NO,YES,NO,NO
Put the Pieces Back Together,NO,NO,NO,NO,NO,NO
She Flirts for England,NO,NO,NO,NO,NO,NO
Slide Away,NO,YES,NO,NO,NO,NO
From the Morning,NO,NO,NO,NO,NO,NO
Parasite,NO,NO,YES,NO,YES,NO
Pink Moon,NO,NO,NO,NO,NO,NO
Place to Be,NO,NO,YES,NO,NO,NO
Road,NO,NO,NO,NO,NO,NO
Things Behind the Sun,NO,YES,NO,NO,NO,NO
Which Will,YES,NO,NO,NO,NO,NO
(Baby) I can change my mind,NO,NO,YES,NO,NO,NO
Have a Little Faith,NO,NO,NO,NO,NO,NO
Bagasas,NO,YES,YES,NO,NO,NO
I don't want you to cry my heart,NO,NO,YES,NO,NO,NO
Lina,NO,YES,NO,YES,NO,NO
All Apologies,NO,NO,NO,NO,YES,NO
Dumb,NO,NO,YES,NO,NO,NO
Heart-Shaped Box,YES,NO,NO,YES,NO,YES
Milk It,NO,YES,YES,YES,YES,NO
Pennyroyal Tea,NO,NO,NO,NO,NO,NO
Radio Friendly Unit Shifter,NO,NO,NO,YES,YES,YES
Rape Me,NO,NO,NO,NO,NO,NO
Serve the Servants,NO,NO,NO,NO,NO,NO
Tourette's,NO,NO,NO,NO,NO,NO
Very Ape,NO,NO,NO,YES,YES,NO
Be With You,NO,NO,YES,NO,NO,NO
Dirty Bird,NO,NO,NO,NO,NO,NO
Down,NO,NO,YES,NO,NO,NO
Dude,NO,NO,NO,NO,NO,NO
Matriarch,NO,NO,YES,YES,YES,NO
Rise,NO,YES,YES,NO,NO,NO
She's the One,NO,NO,YES,NO,NO,NO
The Hard Way,NO,NO,NO,NO,NO,NO
Undone,NO,NO,NO,NO,NO,NO
Chords Of Fame,NO,NO,YES,YES,NO,NO
I Ain't Marching Anymore,NO,NO,YES,YES,YES,NO
Tape From California,NO,NO,YES,YES,NO,NO
The Pleasures of the Harbor,NO,NO,NO,YES,NO,NO
(Are You) Happy,NO,NO,NO,YES,NO,NO
Anytown,NO,NO,NO,NO,NO,NO
Degenerated,NO,NO,NO,NO,NO,NO
Go Nowhere,NO,YES,NO,NO,NO,YES
In Dog We Trust,NO,YES,YES,NO,NO,NO
New Aryans,NO,YES,YES,NO,NO,NO
No Class,NO,NO,YES,YES,NO,NO
Reagan Youth,NO,NO,NO,NO,NO,YES
USA,NO,NO,NO,YES,NO,YES
