Song Title,text
Music is the Healing force of the Universe,   Life is music Music is played listened to danced to Sometimes not understood but felt Music causes all bad vibrations to fade away It makes one want to love instead of hate It puts the mind in a healthy state of thought. It reconciles unites becomes oneness It brings about a state of wholeness and purifies Oh let it come in Oh let it come in The music of the universe The music of love Be healed.    It's never complete it is a being It's always there To feel To let in To become obsessed by To be healed by So open up your door And let it come in Let it into the very interior of your soul Sometime our very soul is in need of spiritual medication We do not always need the pill and its contents Just open up your heart and soul and let it come in Oh let it come in Oh let it come in
Isla de Palma,nan
Come On,   Many times we've been so out of tune with it  Many times we've never known the way  All the people all around never telling nobody  All the people all around never telling a soul     Many times we've been so out of tune with it  Many times we've never let it show  All the people all around never telling nobody  All the people all around never telling a soul 
Dennis,   Deeper waters flowed Recently it showed Tryin' to cover your head Tryin' to frighten you Tryin' to fight with you Really gettin' you scared But don't you worry you love of mine Pretty soon it will all be fine And we'll just go on  Higher hills to climb Climbin' all the time Tryin' to find a way through Fallin' down again on the ground again Wonderin' what you can do But don't you worry you love of ours They look like weeds but they're really flowers And they'll soon be gone  You won't stand up you won't sit down Your head's a mile above the ground And though we tend to scold you now I couldn't start to tell you how We couldn't start to tell you how There's just no way to say how much we love you  You little Dennis you You're full of new surprise Love you You little Dennis with the rascal in your eyes You're a prize  It could be bad it could be worse You're taking out your mother's purse And though you cried when you got told The money there was for the old To keep their dogs from getting cold The only thing that can't be sold is love  You little Dennis you You're full of new surprise Love you You little Dennis with the rascal in your eyes  Will you pick up your toys? Will you be a good boy? Will you please please?
Just A Chance,   I won't tell you if it's short or long All I know is that it don't feel wrong You may say it's not a great romance But all we want from you is just a chance to try Any way we can Don't you think we know it has to hurt Won't you understand?
Know One Knows,   Keep it coming keep it long Caress me with your body song Reach it higher with each sigh Knowing soon that we will fly    Keep it moving keep it bright And guide me with your body light Come in closer with each sigh Knowing soon that we will fly    Keep on feeling keep it whole And lead me with your body soul Take me higher with each sigh Knowing you can make me fly
Rock N' Roll Contract,   Wrapped up in a rock 'n' roll contract  Lots of things I had to sign at the time  Man told me not to worry 'bout the business  Just keep on poppin' those hits     Sat down in my pyramid mansion  Old Martin seems to know all the chords  Tired of beggin' I can make it without them  Played the blues so I wouldn'Â­t get bored 
Three Time Loser,    And you know just where you stand  But it's hard to make the plan  When all that you do is wrong  And no one to find a song to play  
Too Hung Up On You,nan
Gloomy Sunday,   Little white flowers Will never awaken you Not where the black coach Of sorrow has taken you Angels have no thoughts Of ever returning you Would they be angry If I thought of joining you    And prayers that are said I know Let them not weep Let them know that I'm glad to go Death is no dream
The Lonesome Road,   Weary totin' such a load Travelin' down that lonesome road Look down look down that lonesome road Before you travel on. Weary totin' it's such a load Whike I'm travelin' down travelin' down that lonesome old road
Before We Disappear,   Time aint nothing if it aint fast Taking everything that you ever had And giving nothing in return But a cold bed in the quiet earth     Life aint nothing if it aint hard Itll show you who you truly are Knock you down when you get too tall Till you spun around in a free fall 
Bend In The Road,   I set off for the shore And I finally slipped away From the ones i adored And the place i was raised And I rode down the road Just to watch it go by And when and where is love? Maybe nowhere tonight
Circling,   Night falls while drunken angels Sleep by the side of the road And I'm nodding in a stairwell Just trying to stay out of the cold    Light breaks in through the window Takes a minute to know where I am A dying blackbird Gives her soul to the wind On the roof of the house That I can see from the bed    I'd crawl a hundred thousand miles Just to see your two eyes look me over I'd steal you flowers in the bloodshot light Of the lonely hours on a moonless night Just like a stray dog in the rain I can run all night and get nowhere I picture you out underneath the porch light Calling my name all night And waiting for me    Circling around the drain Hope that I make it home I never felt so far away Dark is the heart That wanders.
Dead Wishes,   Staring in the mirror with two borrowed eyes Looking for the part of me that's still alive Waiting for my chest to fall and rise Standing on the corner With my shirt tucked in Summer turns to autumn winter turns to spring And it all flies by like a speeding train    Waiting for the night to come and chase away All the flies hovering around my head With my memory for a pillow And all my regrets for a bed  Standing on the corner now I'm passed surprise Yelling out a warning to some passer by I stand just as God made me And I lie down in disguise    Standing on the corner don't apologize You don't have to bow your head or raise your eyes Or pretend that you don't see me
Higher Truth,   You can make somebody cry Go on Do what you like Ill be there by your side I know What the future holds  You can set the world on fire Yeah if you want It isnt hard I wont be there looking on To see the trail of lies As you fall    You can fill the world with pain Yeah if you want I've seen it now You can fill the world with hate Ive seen it done before And I know how it all works out  Make a promise if you can You know Youll only break it Make a promise if you dare Go on right ahead And lets see where it gets you    Come lets sit in the sun Feel the world spin around As the birds fly overhead Cant you hear the waves Cant you feel the rain As it falls upon your face    Ill take a truth A higher truth A higher truth I want the truth The higher truth A higher truth
Josephine,   Josephine where can you be now? Again the sun is rising on my troubled heart Dont deny you know you and I Are the making of what fate Just cant pull apart    Like a raven in a cage Blood on my birth Just wont wash away Like a stitched together doll My feet to the flame As I follow the blame For someone elses pain For someone elses pain
Let Your Eyes Wander,   When you find love And it gets away If it comes back to you Then it will stay Well maybe its true As dumb as it sounds I aint gonna stop you From looking around    Love can be sharp Make no mistake Flatter a good heart Then watch it break It'll cut you to the bone Just to see you bleed out But that doesnt mean no Im somebody else
