Artist,Song Title,verse,chorus,intro,outro,bridge
Albert Ayler,Music is the Healing force of the Universe,,[chorus] Music is the healing force of the universe Music of love Music is the spirit Music is life [verse] Life is music Music is played listened to danced to Sometimes not understood but felt Music causes all bad vibrations to fade away It makes one want to love instead of hate It puts the mind in a healthy state of thought. It reconciles unites becomes oneness It brings about a state of wholeness and purifies Oh let it come in Oh let it come in The music of the universe The music of love Be healed. [chorus] Music is the healing force of the universe Music of love Music is giving Music is greatness [verse] It's never complete it is a being It's always there To feel To let in To become obsessed by To be healed by So open up your door And let it come in Let it into the very interior of your soul Sometime our very soul is in need of spiritual medication We do not always need the pill and its contents Just open up your heart and soul and let it come in Oh let it come in Oh let it come in [outro] The music of the universe The music of love Be healed. Oh let it come in Oh let it come in The music of the universe The music of love Be healed.,,,
Antonio Flores,Isla de Palma,,[chorus] And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you [watch] Two stars have fallen from the sky And your face has gone to your face It has become two eyes so green That are confused at the bottom of the sea [chorus] And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you [chorus] And here a guitar sounds On the island of Palma Where some hands run a mast To say without words: Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you Uh I love you I love you [outro] Uh I love you I love you Uh I love you I love you,[intro] The two thinking about the same thing The two talking but not talking The two looking into each other's eyes And you trying to hide,,
Bob Brozman,The Lonesome Road,,[chorus] Look down look down that lonesome road Before you travel on. Look up look up and greet your maker For Gabriel blows his horn. [verse] Weary totin' such a load Travelin' down that lonesome road Look down look down that lonesome road Before you travel on. Weary totin' it's such a load Whike I'm travelin' down travelin' down that lonesome old road [chorus] Look down look down that lonesome road Before you travel on. Look up look up and greet your maker For Gabriel blows his horn.,[intro] Look down look down that lonesome road Before you travel on.,,
Chris Cornell,Before We Disappear,[verse] Time ain’t nothing if it ain’t fast Taking everything that you ever had And giving nothing in return But a cold bed in the quiet earth  [bridge] If there's a door to every cell A pearl inside of every shell then ,[chorus] How hard can it be To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live forever but I fear That time will hide the years  [verse] Life ain’t nothing if it ain’t hard It’ll show you who you truly are Knock you down when you get too tall Till you spun around in a free fall  [bridge] But somewhere out there past the storm Lies the shelter of your heart   [chorus] So how hard can it be To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live for ever but I fear That time can hide the years Like we were never here So hold on tightly my dear  [bridge] I'm not one to waste my time Searching for some silver lining Somewhere out there past the storm Lies the shelter Of your heart  [chorus] So how hard can it be (how hard) To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live forever but I fear That time can hide the years Like we were never here So hold on tightly my dear   [outro] Before we disappear Before we disappear,,,
Chris Cornell,Bend In The Road,[verse] I set off for the shore And I finally slipped away From the ones i adored And the place i was raised And I rode down the road Just to watch it go by And when and where is love? Maybe nowhere tonight,[chorus] Everyone needs a touch Or a shoulder for crying The say love is a crutch I say love is blind And that’s all that she needed But I could not supply When a bend in the road Put it out of my mind [bridge] There was a strange little girl Who was everything I ever dreamed I could love or be loved by [outro] So put a bridge Or a hill Or a forest of pines Or a river of blue I can run along side I’ll sleep when it’s night I follow all the signs Just put a bend in the road I’m growing tired of straight lines Put a bend in the road I’m growing tired of straight lines,[intro] In a bend in the road I’m too lost and tired To see where I’m going What I left behind And I’m moving So slow Don’t know when I’ll arrive So put a bend in the road I’m growing tired Of straight lines,,
Chris Cornell,Circling,[verse] Night falls while drunken angels Sleep by the side of the road And I'm nodding in a stairwell Just trying to stay out of the cold,[chorus] Circling around the drain Can't find my way back to home The road is long And never ends Dark is the heart that wanders [verse] Light breaks in through the window Takes a minute to know where I am A dying blackbird Gives her soul to the wind On the roof of the house That I can see from the bed [chorus] Circling around the drain Show me the way back home The road is long It never ends Dark is the heart that wanders [verse] I'd crawl a hundred thousand miles Just to see your two eyes look me over I'd steal you flowers in the bloodshot light Of the lonely hours on a moonless night Just like a stray dog in the rain I can run all night and get nowhere I picture you out underneath the porch light Calling my name all night And waiting for me [outro] I thought I heard your voice in the water As I walked by a fountain uptown Now I'm an orphaned at the door of church Just watching the water come down [verse] Circling around the drain Hope that I make it home I never felt so far away Dark is the heart That wanders.,,,
Chris Cornell,Dead Wishes,[verse] Staring in the mirror with two borrowed eyes Looking for the part of me that's still alive Waiting for my chest to fall and rise Standing on the corner With my shirt tucked in Summer turns to autumn winter turns to spring And it all flies by like a speeding train,[chorus] Dead wishes on a broken chain White roses in a dead man's dream Down and out with everything to lose If these long dead wishes Ever do come true [verse] Waiting for the night to come and chase away All the flies hovering around my head With my memory for a pillow And all my regrets for a bed  Standing on the corner now I'm passed surprise Yelling out a warning to some passer by I stand just as God made me And I lie down in disguise [chorus] Dead wishes on a burning lake White roses from my soul to keep Down and out with everything to win If my long since sunken ship Ever does come in (Round and round we all fall down And that's how ancient mountains crumble) [outro] Time keeps moving slower Like falling from the sun Come and knock me over I keep getting up Throw a line down to me Keep hanging on [verse] Standing on the corner don't apologize You don't have to bow your head or raise your eyes Or pretend that you don't see me [chorus] Dead wishes on a broken chain White roses in a dead man's dream Down and out with everything to lose If these long dead wishes Ever do come true  (Round and round we all fall down And that's how ancient mountains crumble),,,
Chris Cornell,Higher Truth,[verse] You can make somebody cry Go on Do what you like I’ll be there by your side I know What the future holds  You can set the world on fire Yeah if you want It isn’t hard I won’t be there looking on To see the trail of lies As you fall,[chorus] But I’ll take the truth The higher truth The higher truth I want the truth The higher truth The higher truth [verse] You can fill the world with pain Yeah if you want I've seen it now You can fill the world with hate I’ve seen it done before And I know how it all works out  Make a promise if you can You know You’ll only break it Make a promise if you dare Go on right ahead And let’s see where it gets you [chorus] But I’ll take the truth The higher truth The higher truth I want the truth The higher truth The higher truth [bridge] Maybe you and I one day Will finally choose A higher truth [verse] Come let’s sit in the sun Feel the world spin around As the birds fly overhead Can’t you hear the waves Can’t you feel the rain As it falls upon your face [chorus] I’ll take a truth A higher truth A higher truth I want the truth The higher truth A higher truth [verse] I’ll take a truth A higher truth A higher truth I want the truth The higher truth A higher truth [bridge] Maybe you and I one day will finally choose The higher truth [outro] Can’t you feel the higher Can’t you feel the higher As it falls around?,,,
Chris Cornell,Josephine,[verse] Josephine where can you be now? Again the sun is rising on my troubled heart Don’t deny you know you and I Are the making of what fate Just can’t pull apart,[chorus] My sweet Josephine Won’t you come and marry me? I got every kind of love that you would ever need Dying here on bended knees [bridge] Sheets of rain Cold and gray Run down the page Just about your name With just the weight of your silent smile Crashing all around me while i screamed it out loud [chorus] My sweet Josephine Won’t you come and marry me? I got every kind of love that you would ever need Dying here on bended knees [verse] Like a raven in a cage Blood on my birth Just won’t wash away Like a stitched together doll My feet to the flame As I follow the blame For someone else’s pain For someone else’s pain [bridge] Rivers of black ink flood A tapestry of flesh and blood around my frame A living shrine just for you of human mind Golden band upon your hand Leave this endless winter behind [chorus] My sweet josephine Won’t you come and marry me? I got every single kind of love that you would ever need Dying here on bended knees Dying here on bended knees Dying here on bended knees My Josephine,,,
Chris Cornell,Let Your Eyes Wander,[verse] When you find love And it gets away If it comes back to you Then it will stay Well maybe it’s true As dumb as it sounds I ain’t gonna stop you From looking around,[chorus] So let your eyes wander Wild and free Sooner or later You will look back To me [verse] Love can be sharp Make no mistake Flatter a good heart Then watch it break It'll cut you to the bone Just to see you bleed out But that doesn’t mean no I’m somebody else [chorus] So let your eyes wander The moment you think You see something better Better than me So let your eyes wander Wander away And I’ll look no further You will come back one day [bridge] Followed every word that I have ever heard And I still don’t know what to say I always think I’m losing When my lips are moving Time to shut up anyway Followed every line That I remember trying But they never worked in the end No more need for talking If you feel like walking You’re gonna walk anyway  I know you can tell The difference between One lonely tear falling And a season of rain  [chorus] So let your eyes wander Wander away Your heart is young And longing to stray Let your eyes wander Wild and free Sooner or later They will look back They will look back They will look back To me,,,
